Name,Murano 2018 2.5L Hybrid
新車售價,199萬
車身型式,大型SUV休旅
動力型式,油電混合
變速系統,無段變速
排氣量,2488cc
極速(km/h),210km/h
能源局公佈平均油耗,10.9km/ltr
能源效率等級,2
燃料稅,7200元
牌照稅,15210元
車長(mm),4895mm
車寬(mm),1915mm
車高(mm),1690mm
軸距(mm),2825mm
車重(kg),1932kg
車門數,5門
乘客數,5座
油箱容量(L),72L
進氣型式,機械增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,9.1
最大馬力,230hp@5600rpm
最大扭力,34kgm@3600rpm
油電綜效輸出,250hp
電池種類,鋰電池
驅動型式,四輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,235/55R20
後輪尺碼,235/55R20
引擎擺放位置,前置
電動天窗,●
電動開闔尾門/行李蓋,●
車頂行李架,●
輪圈規格,20吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
動力方向盤,●
旅程電腦,●
環景影像系統,●
Keyless免匙系統,●
中控鎖,●
恆溫空調,●
後座出風口,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
膝部氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,●
車道偏離警示,●
循跡系統,●
斜坡起步輔助,●
定速系統,●
盲點偵測系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
座椅材質,皮革
座椅高低調整,●
腰部支撐調整,●
前座座椅調整,●
後座座椅調整,●
後座分離式傾倒,●
後座杯架,●
後座扶手,●
外部音源接入,USB/AUN-IX
藍牙通訊,●
音響系統,●
音響喇叭數量,11
頭燈光源,LED
感應頭燈,●
前霧燈,●
後霧燈,●
