Name,Astra 2011 1.8 Club
新車售價,83.8萬
車身型式,中型房車
動力型式,汽油
變速系統,自排4速
排氣量,1796cc
能源局公佈平均油耗,12.8km/ltr
燃料稅,4800元
牌照稅,7120元
車長(mm),4249mm
車寬(mm),1753mm
車高(mm),1460mm
軸距(mm),2614mm
車重(kg),1303kg
車門數,5門
乘客數,5座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,10.5
最大馬力,140hp@6300rpm
最大扭力,17.9kgm@3800rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,扭力樑
煞車型式,前後碟煞
前輪尺碼,205/55R16
後輪尺碼,205/55R16
旅程電腦,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
防盜系統,●
座椅材質,織布
後座分離式傾倒,●
外部音源接入,AUX-IN
音響系統,MP3、CD
音響喇叭數量,7只
後霧燈,●
