Name,208 2019 1.2L PureTech 5MT Signature,208 2019 1.2L PureTech EAT6 Allure
新車售價,79.8萬,88.8萬
車身型式,小型掀背車,小型掀背車
動力型式,汽油,汽油
變速系統,手排5速,手自排6速
排氣量,1199cc,1199cc
極速(km/h),190km/h,194km/h
官方0-100km/h加速(s),9.6s,9.8s
能源局公佈平均油耗,18.8km/ltr,20.4km/ltr
能源效率等級,1,2
燃料稅,4320元,4320元
實測0-100km/h加速(s),9.6s,-
牌照稅,4320元,4320元
車長(mm),3973mm,3973mm
車寬(mm),1739mm,1739mm
車高(mm),1466mm,1466mm
軸距(mm),2538mm,2538mm
車重(kg),1122kg,1153kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),50L,50L
行李容積(L),311~1152L,311~1152L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列3缸
汽門數,12,12
壓縮比,10.5:1,-
最大馬力,110hp@5500rpm,110hp@5500rpm
最大扭力,20.9kgm@1500rpm,20.9kgm@1500rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,"扭力樑,拖曳臂","扭力樑,拖曳臂"
煞車型式,四輪碟煞,四輪碟煞
前輪尺碼,195/55R 16,195/55R 16
後輪尺碼,195/55R 16,195/55R 16
引擎擺放位置,前置,前置
電動天窗,○,-
玻璃車頂,○,○
輪圈規格,16吋,16吋/可選17吋
後雨刷,●,●
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
方向盤調整,●,●
多功能方向盤,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
抬頭顯示幕,●,●
中控鎖,●,●
衛星導航,○,○
恆溫空調,雙區,雙區
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD/EBA,EBD/EBA
動態穩定系統,ESP,ESP
循跡系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
倒車雷達,●,●
倒車顯影系統,●,-
防盜系統,●,●
座椅材質,織布,織布
座椅高低調整,●,●
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
外部音源接入,●,●
多媒體系統,7吋,7吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,6,6
頭燈光源,鹵素,鹵素
感應頭燈,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
