Name,3008 2018 1.2L PureTech Active,3008 2018 1.6L BlueHDi Active MT6,3008 2018 1.6L BlueHDiActive,3008 2018 1.6L BlueHDiActive+,3008 2018 1.2L PureTech Allure,3008 2018 1.2L PureTech Grip control,3008 2018 1.6L BlueHDiAllure,3008 2018 Grip Control,3008 2018 GT
新車售價,119.8萬,119.8萬,126.8萬,132.8萬,132.8萬,136萬,142.8萬,169.8萬,169.8萬
車身型式,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅
動力型式,汽油,柴油,柴油,柴油,汽油,汽油,柴油,柴油,柴油
變速系統,手自排6速,手排6速,手自排6速,手自排6速,手自排6速,手自排6速,手自排6速,手排6速,手自排6速
排氣量,1199cc,1560cc,1560cc,1560cc,1199cc,1199cc,1560cc,1997cc,1997cc
能源局公佈平均油耗,15.6km/ltr,19.4km/ltr,19.4km/ltr,19.4km/ltr,15.6km/ltr,15.6km/ltr,19.4km/ltr,17.3km/ltr,17.3km/ltr
能源效率等級,4,1,1,1,4,4,1,1,1
燃料稅,4320元,2880元,2880元,2880元,4320元,4320元,2880元,3708元,3708元
牌照稅,4320元,7120元,7120元,7120元,4320元,4320元,7120元,11230元,11230元
車長(mm),4447mm,4447mm,4447mm,4447mm,4447mm,4447mm,4447mm,4447mm,4447mm
車寬(mm),1826mm,1826mm,1841mm,1841mm,1826mm,1826mm,1841mm,1826mm,1826mm
車高(mm),1615mm,1615mm,1624mm,1624mm,1615mm,1615mm,1624mm,1615mm,1615mm
軸距(mm),2675mm,2675mm,2675mm,2675mm,2675mm,2675mm,2675mm,2675mm,2675mm
車重(kg),1433kg,1474kg,1474kg,1474kg,1433kg,1433kg,1474kg,1630kg,1630kg
車門數,5門,5門,5門,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),53L,53L,53L,53L,53L,53L,53L,53L,53L
行李容積(L),520~1482L,520~1482L,520~1482L,520~1482L,520~1482L,520~1482L,520~1482L,520~1482L,520~1482L
前輪距(mm),-,-,-,1590mm,-,-,1590mm,1590mm,1590mm
後輪距(mm),-,-,-,1599mm,-,-,1599mm,1599mm,1599mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,SOHC單凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列4缸,直列4缸,直列4缸,直列3缸,直列3缸,直列4缸,直列4缸,直列4缸
汽門數,12,8,8,8,12,12,8,16,16
最大馬力,130hp@5500rpm,120hp@3500rpm,120hp@3500rpm,120hp@3500rpm,130hp@5500rpm,130hp@5500rpm,120hp@3500rpm,180hp@3750rpm,180hp@3750rpm
最大扭力,23.5kgm@1750rpm,30.59kgm@1750rpm,30.59kgm@1750rpm,30.59kgm@1750rpm,23.5kgm@1750rpm,23.5kgm@1750rpm,30.59kgm@1750rpm,40.75kgm@2000rpm,40.8kgm@2000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,-,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/65R17,215/65R17,215/65R17,215/65R17,225/55R18,225/55R18,225/55R18,225 / 55 R18,235/50R19
後輪尺碼,215/65R17,215/65R17,215/65R17,215/65R17,225/55R18,225/55R18,225/55R18,225 / 55 R18,235/50R19
引擎擺放位置,前置,前置,前置,前置,前置,前置,前置,前置,前置
電動天窗,-,-,-,-,-,-,-,●,-
電動開闔尾門/行李蓋,-,-,-,-,○,○,○,●,●
車頂行李架,●,●,●,●,●,●,●,●,●
玻璃車頂,-,○,○,○,-,-,○,○,○
輪圈規格,17吋,17吋,17吋,17吋,18吋,18吋,18吋,18吋,19吋
後雨刷,●,●,●,●,●,●,●,●,●
感應式雨刷,●,●,●,●,●,●,●,●,●
後視鏡自動防眩目,-,●,●,●,-,-,●,●,●
後視鏡加熱/除霧,●,●,●,●,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●,●,●,●,●
方向盤調整,●,●,●,●,●,●,●,●,●
多功能方向盤,●,●,●,●,●,●,●,●,●
方向盤換檔,●,●,●,●,●,●,●,-,●
動力方向盤,●,●,●,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●,●,●,●
中央顯示幕,●,●,●,●,●,●,●,●,●
多功能資訊幕,●,●,●,●,●,●,●,●,●
Keyless免匙系統,●,●,●,●,●,●,●,-,●
中控鎖,●,●,●,●,●,●,●,●,●
恆溫空調,-,-,-,-,雙區,雙區,雙區,-,●
後座出風口,●,●,●,●,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●,●,●,●
側面氣簾,●,●,●,●,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●,●,●,●,●
煞車輔助系統,EBA/EBFD,EBFD/EBA,EBFD/EBA,EBFD/EBA,EBA/EBFD,EBA/EBFD,EBFD/EBA,EBFD/EBA,EBFD/EBA
動態穩定系統,DSC/ESP,ESP,ESP,ESP,DSC/ESP,DSC/ESP,ESP,ESP,ESP
車道偏離警示,-,-,-,-,●,●,●,-,●
循跡系統,ASR/ITC,ITC,ITC,ITC,ASR/ITC,ASR/ITC,ITC,ITC,Grip Control/ITC
主動安全預防系統,-,-,-,●,-,-,●,-,●
斜坡起步輔助,●,●,●,●,●,●,●,●,●
陡坡緩降系統,-,○,○,○,-,●,○,○,●
定速系統,●,●,●,●,●,●,●,●,●
自動停車系統,-,-,-,-,-,-,-,●,●
盲點偵測系統,-,-,-,-,●,●,●,●,●
駕駛警示系統,●,●,●,●,●,●,●,●,●
倒車雷達,前後,●,前後,前後,前後,前後,前後,前後,前後
倒車顯影系統,●,●,●,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●,●,●,●
主動式智慧定速系統,-,-,-,●,-,-,●,●,●
電子手剎車,●,●,●,●,●,●,●,●,●
駕駛模式選擇,●,-,-,●,●,●,●,-,-
座椅材質,織布,織布,織布,織布,皮布雙織,皮布雙織,織布,皮革,皮革
座椅高低調整,●,●,●,●,駕駛座電動,駕駛座電動,駕駛座電動,●,●
腰部支撐調整,-,-,-,-,駕駛座電動,駕駛座電動,駕駛座電動,-,-
前座座椅調整,●,●,●,●,●,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4,6/4,6/4,6/4,6/4,6/4
座椅記憶功能,-,-,-,-,-,-,●,-,-
加熱座椅,-,-,-,-,●,●,●,-,●
通風座椅,-,-,-,-,-,-,●,-,-
後座杯架,●,-,●,●,●,●,●,-,●
後座扶手,●,-,●,●,●,●,●,-,●
外部音源接入,●,●,●,●,●,●,●,●,●
多媒體系統,8吋,8吋,8吋,8吋,8吋,8吋,8吋,8吋,8吋
藍牙通訊,●,●,●,●,●,●,●,●,●
音響系統,●,●,●,●,●,●,●,●,●
音響喇叭數量,6,6,6,6,6,6,6,6,12
頭燈光源,鹵素,LED,LED,LED,鹵素,鹵素,LED,LED,LED
感應頭燈,●,-,-,-,●,●,○,●,●
頭燈水準自動調整,-,-,-,-,○,○,○,-,-
自適應遠近光,-,-,-,-,●,●,●,-,●
LED日行燈,●,●,●,●,●,●,●,●,●
LED尾燈,●,●,●,●,●,●,●,●,●
前霧燈,●,●,●,●,●,●,●,●,●
後霧燈,●,●,●,●,●,●,●,●,●
轉向輔助照明,-,-,-,-,○,○,○,●,-
引擎啟閉系統,-,-,-,●,-,-,●,●,-
