Name,308 2018 1.2L PureTech Active,308 2018 1.2L PureTech Active+,308 2018 1.2L PureTech Allure,308 2018 GTi
新車售價,96.8萬,106.8萬,118.8萬,169.8萬
車身型式,中型掀背車,中型掀背車,中型掀背車,中型掀背車
動力型式,汽油,汽油,汽油,汽油
變速系統,手自排6速,手自排6速,手自排6速,手排6速
排氣量,1199cc,1199cc,1199cc,1598cc
極速(km/h),-,-,-,250km/h
官方0-100km/h加速(s),-,-,-,6s
能源局公佈平均油耗,17.2km/ltr,17.2km/ltr,17.2km/ltr,14.7km/ltr
能源效率等級,3,3,3,2
燃料稅,4320元,4320元,4320元,4800元
牌照稅,4320元,4320元,4320元,7120元
車長(mm),4253mm,4253mm,4253mm,4253mm
車寬(mm),1804mm,1804mm,1804mm,1804mm
車高(mm),1466mm,1466mm,1466mm,1446mm
軸距(mm),2620mm,2620mm,2620mm,2617mm
車重(kg),1246kg,1260kg,1260kg,1300kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,5座
油箱容量(L),53L,53L,53L,53L
行李容積(L),470~1309L,470~1309L,470~1309L,470~1309L
前輪距(mm),-,-,-,1570mm
後輪距(mm),-,-,-,1554mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列3缸,直列3缸,直列4缸
汽門數,12,12,12,16
壓縮比,17,17,17,10.5
最大馬力,130hp@5500rpm,130hp@5500rpm,130hp@5500rpm,270hp@6000rpm
最大扭力,23.45kgm@1750rpm,23.45kgm@1750rpm,23.45kgm@1750rpm,33.7kgm@1900rpm
缸徑(mm),-,-,-,77mm
衝程(mm),-,-,-,85.8mm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,"扭力樑,拖曳臂","扭力樑,拖曳臂","扭力樑,拖曳臂",拖曳臂
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/55R16,205/55R16,225/45R17,235/35R19
後輪尺碼,205/55R16,205/55R16,225/45R17,235/35R19
引擎擺放位置,前置,前置,前置,前置
運動外觀套件,-,-,-,●
玻璃車頂,-,●,●,○
輪圈規格,16吋,16吋,17吋,19吋
後雨刷,-,-,-,●
感應式雨刷,-,-,-,●
後視鏡自動防眩目,-,-,-,●
後視鏡加熱/除霧,-,-,-,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
方向盤調整,●,●,●,4向
多功能方向盤,●,●,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
多功能資訊幕,●,●,●,●
抬頭顯示幕,●,●,●,●
Keyless免匙系統,●,●,●,●
中控鎖,●,●,●,●
衛星導航,●,●,●,●
恆溫空調,雙區,雙區,雙區,雙區
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●
煞車輔助系統,EBFD/EBA,EBFD/EBA,EBFD/EBA,EBA/EBFD
動態穩定系統,ESP,ESP,ESP,ESP
循跡系統,●,●,●,●
主動安全預防系統,-,-,●,-
斜坡起步輔助,●,●,●,●
定速系統,●,●,●,●
盲點偵測系統,-,-,-,●
倒車雷達,●,●,●,●
倒車顯影系統,●,●,●,●
防盜系統,●,●,●,●
電子手剎車,●,●,●,●
座椅材質,織布,織布,織布,-
跑車式座椅,-,-,-,●
座椅高低調整,●,●,●,●
腰部支撐調整,-,-,-,●
前座座椅調整,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4
按摩座椅,-,-,-,●
後座扶手,●,●,●,●
外部音源接入,USB,USB,USB,USB
多媒體系統,9.7吋,9.7吋,9.7吋,9.7吋
藍牙通訊,●,●,●,●
音響系統,MP3/CD,MP3/CD,MP3/CD,CD/MP3
音響喇叭數量,6,6,6,6
頭燈光源,LED,LED,LED,LED
感應頭燈,-,-,-,●
頭燈水準自動調整,-,-,-,●
LED日行燈,●,●,●,●
LED尾燈,●,●,●,●
前霧燈,●,●,●,-
後霧燈,●,●,●,●
引擎啟閉系統,●,●,●,-
