Name,5008 2019 GT,5008 2019 GT Grip Control
新車售價,184.8萬,184.8萬
車身型式,中型SUV休旅,中型SUV休旅
動力型式,柴油,柴油
變速系統,手自排8速,手自排8速
排氣量,1997cc,1997cc
能源局公佈平均油耗,18.2km/ltr,18.2km/ltr
能源效率等級,1,1
燃料稅,3708元,3708元
牌照稅,11230元,11230元
車長(mm),4641mm,4641mm
車寬(mm),1844mm,1844mm
車高(mm),1646mm,1646mm
軸距(mm),2840mm,2840mm
車重(kg),1726kg,1726kg
車門數,5門,5門
乘客數,7座,7座
油箱容量(L),56L,56L
行李容積(L),780L,780L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
最大馬力,177hp@3750rpm,177hp@3750rpm
最大扭力,40.8kgm@2000rpm,40.8kgm@2000rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞
前輪尺碼,235/50R19,225/55R18
後輪尺碼,235/50R19,225/55R18
引擎擺放位置,前置,前置
電動開闔尾門/行李蓋,●,●
車頂行李架,●,●
輪圈規格,19吋,18吋
後雨刷,●,●
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
Keyless免匙系統,●,●
中控鎖,●,●
恆溫空調,雙區,雙區
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBFD/EBA,EBFD/EBA
動態穩定系統,ESP,ESP
車道偏離警示,●,●
循跡系統,ITC,ITC
主動安全預防系統,●,●
斜坡起步輔助,●,●
陡坡緩降系統,●,●
定速系統,●,●
自動停車系統,●,●
盲點偵測系統,●,●
駕駛警示系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
主動式智慧定速系統,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,皮革,皮革
座椅高低調整,駕駛座電動,駕駛座電動
腰部支撐調整,駕駛座電動,駕駛座電動
前座座椅調整,●,●
後座座椅調整,●,●
後座前後滑移,●,●
後座分離式傾倒,3/3/3,3/3/3
座椅記憶功能,●,●
第三排座椅,●,●
加熱座椅,●,●
按摩座椅,●,●
外部音源接入,●,●
多媒體系統,8吋,8吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,12,12
頭燈光源,LED,LED
感應頭燈,●,●
頭燈水準自動調整,●,●
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
轉向輔助照明,●,●
引擎啟閉系統,●,●
