Name,508 SW 2018 BlueHDi 2.0L A6 5D Allure
新車售價,189.8萬
車身型式,Wagon旅行車
動力型式,柴油
變速系統,手自排6速
排氣量,1997cc
極速(km/h),230km/h
官方0-100km/h加速(s),8.5s
能源局公佈平均油耗,20.81km/ltr
能源效率等級,1
燃料稅,3708元
牌照稅,11230元
車長(mm),4829mm
車寬(mm),1828mm
車高(mm),1476mm
軸距(mm),2817mm
車重(kg),1620kg
車門數,5門
乘客數,5座
油箱容量(L),72L
行李容積(L),660~1865L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,16.0 : 1
最大馬力,180hp@3750rpm
最大扭力,40.78kgm@2000rpm
缸徑(mm),85mm
衝程(mm),88mm
驅動型式,前輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,235/45R18
後輪尺碼,235/45R18
電動天窗,全景式
電動開闔尾門/行李蓋,●
車頂行李架,●
輪圈規格,18吋
感應式雨刷,●
後視鏡電動折疊,●
後視鏡方向指示燈,●
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
抬頭顯示幕,●
Keyless免匙系統,●
衛星導航,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
車道偏離警示,●
循跡系統,●
斜坡起步輔助,●
定速系統,●
倒車雷達,前
倒車顯影系統,●
防盜系統,●
腰部支撐調整,電動
前座座椅調整,●
後座分離式傾倒,●
加熱座椅,●
後座杯架,●
後座扶手,●
外部音源接入,USB
藍牙通訊,●
音響系統,MP3
音響喇叭數量,8只
頭燈光源,LED
感應頭燈,●
自適應遠近光,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
