Name,RCZ 2015 R,RCZ 2015 1.6 THP
新車售價,186萬,186萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,手排6速,手自排6速
排氣量,1598cc,1598cc
能源局公佈平均油耗,13.7km/ltr,13.7km/ltr
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4287mm,4287mm
車寬(mm),1845mm,1845mm
車高(mm),1362mm,1362mm
軸距(mm),2612mm,2612mm
車重(kg),1297kg,1297kg
車門數,2門,2門
乘客數,2+2座,2+2座
油箱容量(L),55L,55L
行李容積(L),380L,760L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,10.5,10.5
最大馬力,270hp@6000rpm,156hp@6000rpm
最大扭力,33.65kgm@1400~5500rpm,24.5kgm@1400~4500rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,235/40R19,235/45R18
後輪尺碼,235/40R19,235/45R18
引擎擺放位置,前置,-
輪圈規格,19吋,-
感應式雨刷,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,●,●
旅程電腦,●,●
中央顯示幕,●,-
衛星導航,●,-
恆溫空調,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
倒車雷達,前,前
倒車顯影系統,●,●
防盜系統,●,●
跑車式座椅,●,●
前座座椅調整,●,●
後座分離式傾倒,●,●
座椅記憶功能,●,●
加熱座椅,●,●
通風座椅,●,●
外部音源接入,USB、AUX-IN,AUX-IN
藍牙通訊,●,-
音響系統,MP3、CD,MP3、CD
音響喇叭數量,6只,6只
頭燈光源,HID,HID
感應頭燈,●,●
主動轉向頭燈,●,●
LED日行燈,●,-
後霧燈,●,●
