Name,911 Carrera 4 2015 4,911 Carrera 4 2015 4 Cabriolet,911 Carrera 4 2015 4S,911 Carrera 4 2015 GTS Coupe,911 Carrera 4 2015 4S Cabriolet,911 Carrera 4 2015 GTS Cabriolet
新車售價,538萬,608萬,618萬,648萬,678萬,708萬
車身型式,雙門跑車 Coupe,敞篷車 ,雙門跑車 Coupe,雙門跑車 Coupe,敞篷車 ,敞篷車 
動力型式,汽油,汽油,汽油,汽油,汽油,汽油
變速系統,自手排7速雙離合,自手排7速雙離合,自手排7速雙離合,自手排7速雙離合,自手排7速雙離合,自手排7速雙離合
排氣量,3436cc,3436cc,3800cc,3800cc,3800cc,3800cc
能源局公佈平均油耗,9.5km/ltr,9.2km/ltr,8.9km/ltr,-,8.9km/ltr,-
燃料稅,8640元,8640元,9810元,9810元,9810元,9810元
牌照稅,28220元,28220元,28220元,28220元,28220元,28220元
車長(mm),4491mm,4491mm,4491mm,4509mm,4491mm,4509mm
車寬(mm),1852mm,1852mm,1852mm,1852mm,1852mm,1852mm
車高(mm),1304mm,1300mm,1296mm,1296mm,1294mm,1296mm
軸距(mm),2450mm,2450mm,2450mm,2450mm,2450mm,2450mm
車重(kg),1430kg,1500kg,1445kg,1490kg,1515kg,1560kg
車門數,2門,2門,2門,2門,2門,2門
乘客數,2+2座,2+2座,2+2座,2+2座,2+2座,2+2座
油箱容量(L),68L,68L,68L,68L,68L,68L
行李容積(L),125L,125L,125L,125L,125L,125L
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,水平對臥6缸,水平對臥6缸,水平對臥6缸,水平對臥6缸,水平對臥6缸,水平對臥6缸
汽門數,24,24,24,24,24,24
壓縮比,12.5,12.5,12.5,12.5,12.5,12.5
最大馬力,350hp@7400rpm,350hp@7400rpm,400hp@7400rpm,430hp@7500rpm,400hp@7400rpm,430hp@7500rpm
最大扭力,39.8kgm@5600rpm,39.8kgm@5600rpm,44.9kgm@5600rpm,44.9kgm@5750rpm,44.9kgm@5600rpm,44.9kgm@5750rpm
驅動型式,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/40R19 295/35R19,235/40R19 295/35R19,245/35R20 305/30R20,245/35R20 305/30R20,245/35R20 305/30R20,245/35R20 305/30R20
後輪尺碼,235/40R19 295/35R19,235/40R19 295/35R19,245/35R20 305/30R20,245/35R20 305/30R20,245/35R20 305/30R20,245/35R20 305/30R20
後視鏡加熱/除霧,●,●,●,●,●,●
方向盤換檔,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●
中央顯示幕,●,●,●,●,●,●
恆溫空調,●,●,●,●,●,●
車內粉塵過濾,●,-,●,●,●,●
前座正面氣囊,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●,●,●,●
循跡系統,●,●,●,●,●,●
斜坡起步輔助,●,●,●,●,●,●
倒車雷達,-,-,-,-,●,-
防盜系統,●,●,●,●,●,●
跑車式座椅,-,-,-,●,-,●
前座座椅調整,●,●,●,●,●,●
後座分離式傾倒,●,●,●,●,●,●
外部音源接入,AUX-IN,AUX-IN,AUX-IN,AUX-IN,AUX-IN,AUX-IN
音響系統,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,9只,9只,9只,9只,9只,9只
頭燈光源,HID,HID,HID,HID,HID,HID
LED日行燈,●,●,●,●,●,●
後霧燈,●,●,●,●,●,●
