Name,911 Carrera GTS 2012 GTS Coupe,911 Carrera GTS 2012 GTS Cabriolet
新車售價,570萬,620萬
車身型式,雙門跑車,敞篷車
動力型式,汽油,汽油
變速系統,自手排7速雙離合,自手排7速雙離合
排氣量,3800cc,3800cc
能源局公佈平均油耗,8.5km/ltr,8.3km/ltr
燃料稅,9810元,9810元
牌照稅,28220元,28220元
車長(mm),4435mm,4435mm
車寬(mm),1852mm,1852mm
車高(mm),1300mm,1300mm
軸距(mm),2350mm,2350mm
車重(kg),1450kg,1545kg
車門數,2門,2門
乘客數,2座,2座
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,水平對臥6缸,水平對臥6缸
汽門數,24,24
壓縮比,12.5,12.5
最大馬力,408hp@7300rpm,408hp@7300rpm
最大扭力,42.8kgm@4200~5600rpm,42.8kgm@4200~5600rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,235/35R19 305/30R19,235/35R19 305/30R19
後輪尺碼,235/35R19 305/30R19,235/35R19 305/30R19
方向盤換檔,●,●
旅程電腦,●,●
中央顯示幕,●,●
恆溫空調,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
斜坡起步輔助,●,●
防盜系統,●,●
跑車式座椅,●,●
前座座椅調整,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,9只,9只
頭燈光源,HID,HID
LED日行燈,●,●
後霧燈,●,●
