Name,911 GT2 2018 RS
新車售價,1488萬
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排7速
排氣量,3800cc
極速(km/h),340km/h
官方0-100km/h加速(s),2.8s
能源局公佈平均油耗,8.47km/ltr
燃料稅,9810元
牌照稅,28220元
車長(mm),4549mm
車寬(mm),1880mm
車高(mm),1297mm
軸距(mm),2453mm
車重(kg),1470kg
車門數,2門
乘客數,2座
油箱容量(L),64L
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,水平對臥6缸
汽門數,24
壓縮比,9
最大馬力,700hp@7000rpm
最大扭力,76.5kgm@2500~4500rpm
缸徑(mm),102mm
衝程(mm),77.5mm
驅動型式,後輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,265/35R20
後輪尺碼,325/30R21
引擎擺放位置,後置
輪圈規格,前20、後21吋
後視鏡電動折疊,○
後視鏡電動調整,●
方向盤調整,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中控鎖,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESC
循跡系統,●
定速系統,○
倒車顯影系統,○
防盜系統,●
電子懸吊,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,皮革
跑車式座椅,●
座椅高低調整,雙前座電動
前座座椅調整,●
外部音源接入,●
音響系統,●
音響喇叭數量,●
頭燈光源,LED
感應頭燈,●
主動轉向頭燈,○
前霧燈,●
