Name,911 GT3 2019 4.0,911 GT3 2019 RS
新車售價,768萬,1018萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,自手排7速,自手排7速
排氣量,3996cc,3996cc
極速(km/h),318km/h,312km/h
官方0-100km/h加速(s),3.4s,3.2s
能源局公佈平均油耗,7.9km/ltr,-
燃料稅,9810元,9810元
牌照稅,28220元,28220元
車長(mm),4562mm,4562mm
車寬(mm),1852mm,1852mm
車高(mm),1271mm,1271mm
軸距(mm),2457mm,2457mm
車重(kg),1505kg,1430kg
車門數,2門,2門
乘客數,2座,2座
油箱容量(L),64L,64L
行李容積(L),125L,125L
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,水平對臥6缸,水平對臥6缸
汽門數,24,24
壓縮比,12.9,-
最大馬力,500hp@8250rpm,520hp@8250rpm
最大扭力,46.9kgm@6000rpm,47.9kgm@6000rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,265/35R20,265/35R20
後輪尺碼,325/30R20,325/30R21
引擎擺放位置,後置,後置
運動外觀套件,-,●
輪圈規格,20吋,前20吋、後21吋
後視鏡電動折疊,○,○
後視鏡電動調整,●,●
方向盤調整,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,-,●
多功能資訊幕,-,●
中控鎖,●,●
恆溫空調,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
循跡系統,●,●
定速系統,○,○
防盜系統,●,●
電子懸吊,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,皮革,皮革
座椅高低調整,雙前座電動,雙前座電動
前座座椅調整,●,●
外部音源接入,●,●
多媒體系統,-,●
音響系統,●,●
音響喇叭數量,9,9
頭燈光源,LED,LED
感應頭燈,●,●
主動轉向頭燈,○,○
前霧燈,●,●
