Name,Boxster 2016 2.7L,Boxster 2016 S,Boxster 2016 GTS
新車售價,298萬,345萬,410萬
車身型式,敞篷車,敞篷車,敞篷車
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,2706cc,3436cc,3436cc
極速(km/h),262km/h,277km/h,279km/h
官方0-100km/h加速(s),5.7s,5s,4.7s
能源局公佈平均油耗,9.9km/ltr,9.4km/ltr,10.1km/ltr
能源效率等級,4,3,2
燃料稅,7200元,8640元,8640元
牌照稅,15210元,28220元,28220元
車長(mm),4374mm,4374mm,4404mm
車寬(mm),1801mm,1801mm,1801mm
車高(mm),1282mm,1281mm,1273mm
軸距(mm),2475mm,2475mm,2475mm
車重(kg),1330kg,1340kg,1345kg
車門數,2門,2門,2門
乘客數,2座,2座,2座
油箱容量(L),64L,64L,64L
行李容積(L),280L,280L,280L
前輪距(mm),1526mm,1526mm,1526mm
後輪距(mm),1536mm,1536mm,1536mm
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,水平對臥6缸,水平對臥6缸,水平對臥6缸
汽門數,24,24,24
壓縮比,12.5,12.5,12.5
最大馬力,265hp@6700 rpm,310hp@6700rpm,330hp@6700rpm
最大扭力,28.5kgm@4500-6500 rpm,36.7kgm@4500~5800rpm,37.7kgm@4500~5800rpm
缸徑(mm),89mm,97mm,97mm
衝程(mm),72.5mm,77.5mm,77.5mm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,麥花臣,麥花臣,麥花臣
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/45R18,235/45R19,235/35R20
後輪尺碼,235/45R18,265/40R19,235/35R20
感應式雨刷,●,●,●
後視鏡電動折疊,○,○,○
後視鏡電動調整,●,●,●
方向盤調整,手動4向,手動4向,手動4向
多功能方向盤,○,○,○
方向盤換檔,○,○,○
動力方向盤,●,●,●
旅程電腦,●,●,●
中控鎖,●,●,●
衛星導航,○,○,○
恆溫空調,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,○,○,○
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESC,ESC,ESC
循跡系統,●,●,●
定速系統,●,●,●
倒車雷達,前後,前後,前後
防盜系統,●,●,●
電子懸吊,○,○,○
座椅材質,皮革,皮革,皮革
前座座椅調整,●,●,●
外部音源接入,USB/AUX-IN,USB/AUX-IN,USB/AUX-IN
藍牙通訊,●,●,●
音響系統,CD,CD,CD
音響喇叭數量,4,4,4
頭燈光源,HID,HID,HID
感應頭燈,●,●,●
主動轉向頭燈,○,○,○
