Name,Cayenne 2019 3.0T,Cayenne 2019 E-Hybrid,Cayenne 2019 S,Cayenne 2019 Turbo
新車售價,339.8萬,408萬,458萬,668萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,油電混合,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,2995cc,2995cc,2894cc,3996cc
極速(km/h),245km/h,253km/h,265km/h,286km/h
官方0-100km/h加速(s),6.2s,5s,5.2s,4.1s
燃料稅,7200元,7200元,7200元,9810元
牌照稅,15210元,15210元,15210元,28220元
車長(mm),4918mm,4918mm,4918mm,4926mm
車寬(mm),1983mm,1983mm,1983mm,1983mm
車高(mm),1696mm,1696mm,1696mm,1673mm
軸距(mm),2895mm,2895mm,2895mm,2895mm
車重(kg),1985kg,2295kg,2020kg,2175kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,5座
油箱容量(L),75L,75L,75L,75L
行李容積(L),770-1710L,645-1610L,770-1710L,745-1680L
前輪距(mm),1680mm,-,1680mm,-
後輪距(mm),1673mm,-,1673mm,-
最小離地高度(mm),190mm,-,190mm,-
風阻係數,0.34,-,0.34,-
進氣型式,渦輪增壓,"渦輪增壓,雙渦輪增壓",雙渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸,V型6缸,V型8缸
汽門數,24,24,-,-
壓縮比,11.2:1,-,10.5:1,10.1:1
最大馬力,340hp@5300~6400rpm,340hp@5300~6400rpm,"440hp/5,700-6,600rpm",550hp@5750~6000rpm
最大扭力,45.9kgm@1340~5300rpm,45.9kgm@1340~5300rpm,"56.1kgm/1,800-5,500rpm",78.5kgm@1960~4500rpm
馬達出力,-,136hp/40.8kgm,-,-
缸徑(mm),84.5mm,-,84.5mm,86mm
衝程(mm),89mm,-,86mm,86mm
油電綜效輸出,-,456hp/71.4kgm,-,-
驅動型式,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,多連桿,多連桿,多連桿,多連桿
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞
前輪尺碼,255/55 ZR19,255/55R19,255/55 ZR19,285/40R21
後輪尺碼,275/50 ZR19,275/50R19,275/50 ZR19,315/35R21
引擎擺放位置,前置,前置,前置,前置
電動天窗,○,○,○,○
運動外觀套件,-,○,-,○
電動開闔尾門/行李蓋,●,●,●,●
輪圈規格,19吋,19吋,19吋,21吋
後雨刷,●,●,●,●
感應式雨刷,●,●,●,●
後視鏡自動防眩目,○,●,○,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,●,-,-,-
方向盤調整,●,●,●,●
多功能方向盤,●,●,●,●
方向盤換檔,●,●,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
多功能資訊幕,●,●,●,●
抬頭顯示幕,○,○,○,○
環景影像系統,○,-,-,-
Keyless免匙系統,○,○,○,○
中控鎖,●,●,●,●
恆溫空調,●,●,●,●
車內粉塵過濾,○,○,○,○
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
後座側面氣囊,○,○,○,○
側面氣簾,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●
煞車輔助系統,●,●,●,●
動態穩定系統,PSM,PSM,PSM,PSM
循跡系統,PTM,PTM,PTM,PTM
定速系統,●,●,●,●
倒車雷達,●,●,●,●
倒車顯影系統,●,●,●,●
電子差速器,●,●,●,●
電子手剎車,●,●,●,●
駕駛模式選擇,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革
跑車式座椅,-,●,-,●
座椅高低調整,駕駛座電動,雙前座電動,駕駛座電動,雙前座電動
腰部支撐調整,-,雙前座電動,-,雙前座電動
前座座椅調整,●,●,●,●
後座前後滑移,●,●,●,●
後座分離式傾倒,4/2/4,4/2/4,4/2/4,4/2/4
座椅記憶功能,●,●,●,●
加熱座椅,○,○,○,○
通風座椅,○,○,○,○
按摩座椅,○,○,○,○
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,●,●,●,●
多媒體系統,●,●,○,●
藍牙通訊,●,-,-,-
音響系統,●,●,○,●
音響喇叭數量,-,●,●,●
後座影音功能,○,○,○,○
頭燈光源,LED,HID,HID,HID
感應頭燈,●,-,●,-
主動轉向頭燈,○,○,○,○
LED日行燈,●,●,●,●
LED尾燈,●,●,●,●
引擎啟閉系統,●,●,●,●
