Name,Cayman 2016 2.7,Cayman 2016 S,Cayman 2016 GTS
新車售價,308萬,358萬,425萬
車身型式,雙門跑車,雙門跑車,雙門跑車
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,2706cc,3436cc,3436cc
極速(km/h),266km/h,283km/h,284km/h
官方0-100km/h加速(s),5.7s,5s,4.6s
能源局公佈平均油耗,9.3km/ltr,9.4km/ltr,9.8km/ltr
能源效率等級,4,3,3
燃料稅,7200元,8640元,8640元
牌照稅,15210元,28220元,28220元
車長(mm),4380mm,4380mm,4404mm
車寬(mm),1801mm,1801mm,1801mm
車高(mm),1294mm,1295mm,1284mm
軸距(mm),2475mm,2475mm,2475mm
車重(kg),1340kg,1350kg,1375kg
車門數,2門,2門,2門
乘客數,2座,2座,2座
油箱容量(L),64L,64L,64L
行李容積(L),312L,312L,312L
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,水平對臥6缸,水平對臥6缸,水平對臥6缸
汽門數,24,24,24
壓縮比,12.5,12.5,12.5
最大馬力,275hp@7400rpm,325hp@7400rpm,340hp@7400rpm
最大扭力,29.6kgm@4500~6500rpm,37.7kgm@4500~5800rpm,38.7kgm@4750~5800rpm
缸徑(mm),89mm,97mm,97mm
衝程(mm),72.5mm,77.5mm,77.5mm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,麥花臣,麥花臣,麥花臣
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/45R18,235/40R19,235/35R20
後輪尺碼,265/45R18,265/40R19,265/35R20
輪圈規格,18吋,19吋,20吋
感應式雨刷,●,●,●
後視鏡電動折疊,○,○,○
後視鏡電動調整,●,●,●
方向盤調整,手動4向,手動4向,手動4向
多功能方向盤,○,○,○
方向盤換檔,○,○,○
動力方向盤,●,●,●
旅程電腦,●,●,●
中控鎖,●,●,●
衛星導航,○,○,○
恆溫空調,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,○,○,○
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESC,ESC,ESC
循跡系統,●,●,●
定速系統,●,●,●
倒車雷達,●,●,●
防盜系統,●,●,●
電子懸吊,○,○,●
座椅材質,織布,織布,皮革
座椅高低調整,雙前座電動,雙前座電動,雙前座電動
外部音源接入,AUX-IN/USB,AUX-IN/USB,AUX-IN/USB
藍牙通訊,●,●,●
音響系統,MP3/CD,MP3/CD,MP3/CD
音響喇叭數量,4,4,4
頭燈光源,HID,HID,HID
感應頭燈,●,●,●
主動轉向頭燈,○,○,●
