Name,Macan 2019 2.0,Macan 2019 S
新車售價,275萬(預售),317萬(預售)
車身型式,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,汽油
變速系統,自手排7速,自手排7速
排氣量,1984cc,2995cc
極速(km/h),229km/h,254km/h
官方0-100km/h加速(s),6.7s,5.3s
燃料稅,6180元,7200元
牌照稅,11230元,15210元
車長(mm),4696mm,4696mm
車寬(mm),1923mm,1923mm
車高(mm),1624mm,1624mm
軸距(mm),2807mm,2807mm
車重(kg),1795kg,1865kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),65L,65L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,V型6缸
汽門數,16,24
最大馬力,252hp@5000~6800rpm,354hp@5400~6400rpm
最大扭力,37.7kgm@1500~4500rpm,48.9kgm@1360~4800rpm
驅動型式,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,235/60R18,235/60R18
後輪尺碼,255/55R18,255/55R18
引擎擺放位置,前置,前置
電動天窗,○,○
電動開闔尾門/行李蓋,●,●
輪圈規格,18吋,18吋
後雨刷,●,●
感應式雨刷,●,●
後視鏡記憶,-,○
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
環景影像系統,-,○
Keyless免匙系統,-,○
中控鎖,●,●
衛星導航,●,●
恆溫空調,●,●
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
後座側面氣囊,-,○
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
車道偏離警示,●,●
循跡系統,●,●
主動安全預防系統,-,○
斜坡起步輔助,●,●
定速系統,●,●
自動停車系統,-,○
駕駛警示系統,-,○
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
主動式智慧定速系統,○,○
電子懸吊,○,○
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,皮革,皮革
跑車式座椅,●,●
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座分離式傾倒,4/2/4,4/2/4
座椅記憶功能,●,●
加熱座椅,-,○
通風座椅,-,○
後座杯架,●,●
後座扶手,●,●
外部音源接入,●,●
多媒體系統,10.9吋,10.9吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,10,10
頭燈光源,LED,LED
感應頭燈,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
轉向輔助照明,-,○
引擎啟閉系統,●,●
