Name, ,Panamera Sport Turismo 2018 4 Sport Turismo,Panamera Sport Turismo 2018 4 E-Hybrid Sport Turismo,Panamera Sport Turismo 2018 4S Sport Turismo,Panamera Sport Turismo 2018 Turbo Sport Turismo,Panamera Sport Turismo 2018 Turbo S E-Hybrid Sport Turismo
新車售價,-,541萬,623萬,795萬,1066萬,1269萬
車身型式,-,Wagon旅行車,Wagon旅行車,Wagon旅行車,Wagon旅行車,Wagon旅行車
動力型式,-,汽油,油電混合,汽油,汽油,汽油
變速系統,-,自手排8速,自手排8速,自手排8速,自手排8速,自手排8速
排氣量,-,2995cc,2894cc,2894cc,3996cc,3996cc
極速(km/h),-,259km/h,275km/h,286km/h,304km/h,310km/h
官方0-100km/h加速(s),-,5.3s,4.6s,4.2s,3.6s,3.4s
燃料稅,-,7200元,7200元,7200元,9810元,9810元
牌照稅,-,15210元,15210元,15210元,28220元,28220元
車長(mm),-,5049mm,5049mm,5049mm,5049mm,5049mm
車寬(mm),-,1937mm,1937mm,1937mm,1937mm,1937mm
車高(mm),-,1428mm,1423mm,1428mm,1432mm,1432mm
軸距(mm),-,2950mm,2950mm,2950mm,2950mm,2950mm
車重(kg),-,1880kg,2190kg,1915kg,2035kg,2325kg
車門數,-,4門,4門,4門,4門,4門
乘客數,-,5座,5座,5座,5座,5座
油箱容量(L),-,75L,75L,75L,90L,90L
行李容積(L),-,520~1390L,425~1295L,520~1390L,520~1390L,425~1295L
進氣型式,-,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓
汽門構造,-,DOHC雙凸輪軸,DOHC雙凸輪軸,-,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,-,V型6缸,V型6,V型6缸,V型8缸,V型8缸
汽門數,-,24,24,24,32,32
壓縮比,-,-,10.5,10.5,10.1,10.1
最大馬力,-,330hp@5400~6400rpm,330hp@5250~6500rpm,440hp@5650rpm,550hp@5750rpm,550hp@5750~6000rpm
最大扭力,-,45.9kgm@1340~4900rpm,45.9kgm@1750~5000rpm,56.1kgm@1750～5500rpm,78.5kgm@1960～4500rpm,78.5kgm@1960～4500rpm
馬達出力,-,-,136hp,-,-,136hp
油電綜效輸出,-,-,462hp/71.4kgm,-,-,680hp
電動機總功率(kW),-,-,100kW,-,-,100kW
電動機總扭矩(N·m),-,-,400N·m,-,-,400N·m
驅動型式,-,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,-,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,-,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,-,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,-,265/45 ZR19,265/45 ZR19,265/45 ZR19,275/40 ZR20,275/35 ZR21
後輪尺碼,-,295/40 ZR19,295/40 ZR19,295/40 ZR19,315/35 ZR20,325/30 ZR21
引擎擺放位置,-,前置,前置,前置,前置,前置
輪圈規格,-,19吋,19吋,19吋,20吋,21吋
感應式雨刷,-,●,●,●,●,●
後視鏡電動折疊,-,●,●,●,●,●
後視鏡電動調整,-,●,●,●,●,●
方向盤調整,-,●,●,●,●,●
多功能方向盤,-,●,●,●,●,●
方向盤換檔,-,●,●,●,●,●
動力方向盤,-,●,●,●,●,●
旅程電腦,-,●,●,●,●,●
中央顯示幕,-,●,●,●,●,●
多功能資訊幕,-,●,●,●,●,●
中控鎖,-,●,●,●,●,●
衛星導航,-,●,●,●,●,●
恆溫空調,-,●,●,●,●,●
後座出風口,-,●,●,●,●,●
車內粉塵過濾,-,●,●,-,●,●
前座正面氣囊,-,●,●,●,●,●
前座側面氣囊,-,●,●,●,●,●
側面氣簾,-,●,●,●,●,●
胎壓偵測,-,●,●,●,●,●
兒童安全椅固定裝置,-,●,●,-,-,-
ABS防鎖死,-,●,●,●,●,●
煞車輔助系統,-,●,●,●,●,●
動態穩定系統,-,●,●,●,●,●
循跡系統,-,●,●,●,●,●
主動安全預防系統,-,●,●,●,●,●
倒車雷達,-,●,●,●,●,●
防盜系統,-,●,●,●,●,●
氣壓懸吊,-,●,●,●,●,●
電子手剎車,-,●,●,●,●,●
駕駛模式選擇,-,●,●,●,●,●
座椅材質,-,真皮,真皮,真皮,真皮,真皮
跑車式座椅,-,●,●,●,●,●
座椅高低調整,-,●,●,●,●,●
腰部支撐調整,-,●,●,●,●,●
前座座椅調整,-,●,●,●,●,●
後座分離式傾倒,-,4/2/4,4/2/4,4/2/4,4/2/4,4/2/4
後座杯架,-,●,●,●,●,●
後座扶手,-,●,●,●,●,●
外部音源接入,-,●,●,●,●,●
多媒體系統,-,●,●,●,●,●
藍牙通訊,-,●,●,●,●,●
音響系統,-,●,●,●,●,●
音響喇叭數量,-,●,●,-,●,●
後座影音功能,-,-,-,●,●,●
後座整合控制台,-,-,-,●,●,●
頭燈光源,-,LED,LED,LED,LED,LED
感應頭燈,-,●,●,●,●,●
LED日行燈,-,●,●,●,●,●
LED尾燈,-,●,●,●,●,●
前霧燈,-,●,●,●,●,●
後霧燈,-,●,●,●,●,●
轉向輔助照明,-,-,-,-,●,●
