Name,Gen2 2008 手排型,Gen2 2008 自排型
新車售價,56.8萬,59.8萬
車身型式,小型掀背車,小型掀背車
動力型式,汽油,汽油
變速系統,手排5速,自排4速
排氣量,1597cc,1597cc
能源局公佈平均油耗,13.2km/ltr,13.2km/ltr
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4310mm,4310mm
車寬(mm),1725mm,1725mm
車高(mm),1435mm,1435mm
軸距(mm),2600mm,2600mm
車重(kg),1190kg,1190kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
最大馬力,110hp@6000rpm,110hp@6000rpm
最大扭力,15.1kgm@4000rpm,15.1kgm@4000rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,195/55R15,195/55R15
後輪尺碼,195/55R15,195/55R15
後視鏡加熱/除霧,●,●
恆溫空調,●,●
前座正面氣囊,●,●
ABS防鎖死,●,●
定速系統,-,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,-,皮革
後座分離式傾倒,●,●
音響系統,CD,CD
音響喇叭數量,4只,4只
前霧燈,●,●
後霧燈,●,●
