Name,Savvy 2012 手排型,Savvy 2012 自手排型
新車售價,44.8萬,47.8萬
車身型式,小型掀背車,小型掀背車
動力型式,汽油,汽油
變速系統,手排5速,自手排5速
排氣量,1149cc,1149cc
能源局公佈平均油耗,16.9km/ltr,17.6km/ltr
燃料稅,4320元,4320元
牌照稅,4320元,4320元
車長(mm),3710mm,3710mm
車寬(mm),1643mm,1643mm
車高(mm),1480mm,1480mm
軸距(mm),2395mm,2395mm
車重(kg),953kg,963kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),40L,40L
進氣型式,自然吸氣,自然吸氣
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,9.8,9.8
最大馬力,75hp@5500rpm,74hp@5500rpm
最大扭力,10.71kgm@4250rpm,10.71kgm@4250rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑
煞車型式,前碟後鼓,前碟後鼓
前輪尺碼,175/50R15,175/50R15
後輪尺碼,175/50R15,175/50R15
前座正面氣囊,●,●
ABS防鎖死,●,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,織布,-
後座分離式傾倒,●,●
音響系統,CD,CD
音響喇叭數量,4只,4只
前霧燈,●,●
後霧燈,●,●
