Name,Megane Cabriolet 2008 2
新車售價,160萬
車身型式,敞篷車 
動力型式,汽油
變速系統,手自排4速
排氣量,1998cc
能源局公佈平均油耗,11.9km/ltr
燃料稅,6180元
牌照稅,11230元
車長(mm),4355mm
車寬(mm),1777mm
車高(mm),1404mm
軸距(mm),2522mm
車重(kg),1410kg
車門數,2門
乘客數,4座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,9.8
最大馬力,136hp@6000rpm
最大扭力,19.1kgm@3750rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,205/55R16
後輪尺碼,205/55R16
感應式雨刷,●
後視鏡加熱/除霧,●
旅程電腦,●
Keyless免匙系統,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
防盜系統,●
座椅材質,皮革
後座分離式傾倒,●
音響系統,CD
音響喇叭數量,6只
感應頭燈,●
前霧燈,●
後霧燈,●
