Name,Megane Sedan 2010 1.9 dCi
新車售價,104.8萬
車身型式,中型房車
動力型式,柴油
變速系統,手自排4速
排氣量,1870cc
能源局公佈平均油耗,15.2km/ltr
燃料稅,3708元
牌照稅,11230元
車長(mm),4498mm
車寬(mm),1777mm
車高(mm),1460mm
軸距(mm),2686mm
車重(kg),1315kg
車門數,4門
乘客數,5座
進氣型式,渦輪增壓
汽門構造,SOHC單凸輪軸
汽缸設計,直列4缸
汽門數,8
壓縮比,17
最大馬力,130hp@4000rpm
最大扭力,25.5kgm@2000rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,195/65R15
後輪尺碼,195/65R15
感應式雨刷,●
後視鏡加熱/除霧,●
旅程電腦,●
Keyless免匙系統,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
防盜系統,●
後座分離式傾倒,●
音響系統,MP3、CD
音響喇叭數量,6只
感應頭燈,●
前霧燈,●
後霧燈,●
