Name,Phantom 2018 V12,Phantom 2018 EWB
新車售價,3450萬起,4050萬起
車身型式,四門轎車 Sedan,四門轎車 Sedan
動力型式,汽油,汽油
變速系統,自排8速,自排8速
排氣量,6749cc,6749cc
極速(km/h),250km/h,250km/h
官方0-100km/h加速(s),5.2s,5.4s
燃料稅,14910元,14910元
牌照稅,117000元,117000元
車長(mm),5762mm,5982mm
車寬(mm),2018mm,2018mm
車高(mm),1646mm,1656mm
軸距(mm),3552mm,3772mm
車重(kg),2560kg,2610kg
車門數,4門,4門
乘客數,5座,5座
油箱容量(L),100L,100L
進氣型式,雙渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型12缸,V型12缸
汽門數,48,48
壓縮比,10.1,10.1
最大馬力,571hp@5000rpm,571hp@5000rpm
最大扭力,91.8kgm@1700rpm,91.8kgm@1700rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,255/45R22,255/45R22
後輪尺碼,285/40R22,285/40R22
引擎擺放位置,前置,前置
電動天窗,●,-
車門自動吸附,●,●
電動開闔尾門/行李蓋,●,●
輪圈規格,22吋,22吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,電動4向,電動4向
多功能方向盤,●,●
方向盤換檔,-,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,-,●
多功能資訊幕,-,●
Keyless免匙系統,-,●
中控鎖,●,●
衛星導航,●,●
恆溫空調,四區,四區
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
後座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
循跡系統,●,●
主動安全預防系統,-,●
定速系統,●,●
駕駛警示系統,●,●
倒車雷達,前後,前後
倒車顯影系統,●,●
防盜系統,●,●
氣壓懸吊,●,●
電子懸吊,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座座椅調整,○,●
座椅記憶功能,●,●
加熱座椅,●,●
通風座椅,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,●,●
多媒體系統,●,●
藍牙通訊,●,●
音響系統,CD/DVD,CD/DVD
音響喇叭數量,●,●
後座影音功能,●,●
後座整合控制台,●,●
頭燈光源,LED,LED
感應頭燈,●,●
主動轉向頭燈,●,●
頭燈水準自動調整,●,●
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,●,●
後霧燈,●,●
