Name,9-3 Convertible 2012 Aero Griffin 2.0T,9-3 Convertible 2012 INDEP.Griffin 2.0T
新車售價,268萬,278萬
車身型式,敞篷車 ,敞篷車 
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,1998cc,1998cc
能源局公佈平均油耗,10.8km/ltr,10.8km/ltr
燃料稅,6180元,6180元
牌照稅,11230元,11230元
車長(mm),4668mm,4668mm
車寬(mm),1802mm,1802mm
車高(mm),1437mm,1437mm
軸距(mm),2675mm,2675mm
車重(kg),1642kg,1642kg
車門數,2門,2門
乘客數,4座,4座
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,9.5,9.5
最大馬力,260hp@5300rpm,260hp@5300rpm
最大扭力,40.8kgm@2500rpm,40.8kgm@2500rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,225/45R17,225/45R18
後輪尺碼,225/45R17,225/45R18
感應式雨刷,●,●
方向盤換檔,●,●
旅程電腦,●,●
中央顯示幕,●,-
衛星導航,●,-
恆溫空調,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
ABS防鎖死,●,●
循跡系統,●,●
定速系統,●,●
倒車雷達,●,●
防盜系統,●,●
跑車式座椅,●,●
前座座椅調整,●,●
座椅記憶功能,●,●
加熱座椅,●,●
外部音源接入,USB、AUX-IN,AUX-IN
藍牙通訊,●,-
音響系統,MP3、DVD、CD,MP3、CD
音響喇叭數量,11只,11只
頭燈光源,HID,HID
主動轉向頭燈,●,●
前霧燈,●,●
後霧燈,●,●
