Name,Fabia Combi 2019 1.0 TSI
新車售價,77.9萬
車身型式,Wagon旅行車
動力型式,汽油
變速系統,自手排7速
排氣量,999cc
極速(km/h),195km/h
官方0-100km/h加速(s),10.2s
能源局公佈平均油耗,19.8km/ltr
能源效率等級,1
燃料稅,4320元
牌照稅,4320元
車長(mm),4262mm
車寬(mm),1732mm
車高(mm),1467mm
軸距(mm),2470mm
車重(kg),1179kg
車門數,5門
乘客數,5座
油箱容量(L),45L
行李容積(L),530L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列3缸
汽門數,12
最大馬力,110hp@5000~5500rpm
最大扭力,20.4kgm@2000~3500rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,扭力樑
煞車型式,前後碟煞
前輪尺碼,185/60R15
後輪尺碼,185/60R15
引擎擺放位置,前置
車頂行李架,●
玻璃車頂,○
輪圈規格,15吋
後雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
中控鎖,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBV
動態穩定系統,ESC
循跡系統,MSR/ASR
主動安全預防系統,●
斜坡起步輔助,●
定速系統,●
盲點偵測系統,●
倒車雷達,●
倒車顯影系統,○
防盜系統,●
主動式智慧定速系統,●
電子差速器,●
座椅材質,織布
座椅高低調整,●
前座座椅調整,●
後座分離式傾倒,6/4
後座杯架,●
外部音源接入,●
多媒體系統,6.5吋
藍牙通訊,●
音響系統,●
音響喇叭數量,6
頭燈光源,鹵素
感應頭燈,●
LED日行燈,●
後霧燈,●
車輛動能回收系統,●
引擎啟閉系統,●
