Name,Octavia Sedan 2013 1.2 TSI
新車售價,94.8萬
車身型式,中型房車
動力型式,汽油
變速系統,自手排7速雙離合
排氣量,1197cc
能源局公佈平均油耗,15.4km/ltr
燃料稅,4320元
牌照稅,4320元
車長(mm),4569mm
車寬(mm),1769mm
車高(mm),1462mm
軸距(mm),2578mm
車重(kg),1215kg
車門數,5門
乘客數,5座
進氣型式,渦輪增壓
汽門構造,SOHC單凸輪軸
汽缸設計,直列4缸
汽門數,8
壓縮比,10
最大馬力,105hp@5000rpm
最大扭力,17.9kgm@1550~4100rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,205/60R15
後輪尺碼,205/60R15
感應式雨刷,●
後視鏡加熱/除霧,●
後視鏡電動折疊,●
旅程電腦,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
斜坡起步輔助,●
倒車雷達,●
防盜系統,●
座椅材質,織布
後座分離式傾倒,●
後座杯架,●
後座扶手,●
外部音源接入,AUX-IN
音響系統,MP3、CD
音響喇叭數量,8只
前霧燈,●
