Name,Roomster 2015 1.2 TSI Active,Roomster 2015 1.2 TSI Scout
新車售價,87.8萬,92.8萬
車身型式,MPV休旅,MPV休旅
動力型式,汽油,汽油
變速系統,自手排7速雙離合,自手排7速雙離合
排氣量,1197cc,1197cc
能源局公佈平均油耗,15.9km/ltr,15.9km/ltr
燃料稅,4320元,4320元
牌照稅,4320元,4320元
車長(mm),4214mm,4214mm
車寬(mm),1684mm,1684mm
車高(mm),1607mm,1607mm
軸距(mm),2608mm,2608mm
車重(kg),1196kg,1196kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),55L,55L
行李容積(L),450L,450L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,8,8
壓縮比,10,10
最大馬力,105hp@5000rpm,105hp@5000rpm
最大扭力,17.9kgm@1550~4100rpm,17.9kgm@1550~4100rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,195/55R15,205/45R16
後輪尺碼,195/55R15,205/45R16
車頂行李架,●,●
後視鏡加熱/除霧,●,●
旅程電腦,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,-,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
斜坡起步輔助,-,●
定速系統,-,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,織布,織布
後座前後滑移,●,●
後座分離式傾倒,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,AUX-IN,AUX-IN
音響系統,MP3、CD,MP3、CD
音響喇叭數量,8只,8只
前霧燈,-,●
