Name,Superb Sedan 2015 1.4 TSI 菁英版,Superb Sedan 2015 1.8 TSI Ambition,Superb Sedan 2015 2.0 TDI Elegance,Superb Sedan 2015 2.0 TSI尊榮動力版4x4
新車售價,119.9萬,129.8萬,145.8萬,167.8萬
車身型式,四門轎車 Sedan,四門轎車 Sedan,四門轎車 Sedan,四門轎車 Sedan
動力型式,汽油,汽油,柴油,汽油
變速系統,手自排7速,自手排7速雙離合,自手排6速雙離合,自手排6速
排氣量,1395cc,1798cc,1968cc,1984cc
能源局公佈平均油耗,-,13.3km/ltr,17.2km/ltr,-
燃料稅,4800元,4800元,3708元,6180元
牌照稅,7120元,7120元,11230元,11230元
車長(mm),4861mm,4833mm,4833mm,4861mm
車寬(mm),1864mm,1817mm,1817mm,1864mm
車高(mm),1468mm,1462mm,1462mm,1468mm
軸距(mm),2841mm,2761mm,2761mm,2841mm
車重(kg),1500kg,1508kg,1557kg,1615kg
車門數,4門,4門,4門,4門
乘客數,5座,5座,5座,5座
油箱容量(L),-,60L,60L,66L
行李容積(L),-,595L,595L,-
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
壓縮比,-,9.8,16.5,-
最大馬力,150hp@5000~6000 rpm,160hp@4500~6200rpm,170hp@4200rpm,280hp@5600~6500 rpm
最大扭力,25.5 kgm@1500~3500 rpm,25.5kgm@1500~4500rpm,35.7kgm@1750~2500rpm,35.7 kgm@1750~5600 rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,四輪碟煞,前後碟煞,前後碟煞,四輪碟煞
前輪尺碼,215/55 R17,205/55R16,225/45R17,235/45 R18
後輪尺碼,215/55 R17,205/55R16,225/45R17,235/45 R18
引擎擺放位置,-,-,-,前置
電動天窗,-,-,-,○
輪圈規格,-,-,-,18吋 L&K套件為19吋
感應式雨刷,●,●,●,●
後視鏡自動防眩目,車內,-,-,車內
後視鏡加熱/除霧,-,●,●,-
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,-,-,●
方向盤調整,●,-,-,●
多功能方向盤,●,-,-,●
動力方向盤,●,-,-,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
Keyless免匙系統,-,-,-,●
中控鎖,●,-,-,●
恆溫空調,●,●,●,-
後座出風口,●,●,●,●
車內粉塵過濾,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
後座側面氣囊,●,-,-,●
側面氣簾,●,●,●,●
膝部氣囊,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●,●
動態穩定系統,ESC、DSR,-,-,ESC、DSR
循跡系統,ASR、MSR,●,●,ASR、MSR
斜坡起步輔助,●,●,●,●
定速系統,●,●,●,●
倒車雷達,●,●,●,●
倒車顯影系統,-,-,-,●
防盜系統,●,●,●,●
電子手剎車,●,-,-,●
駕駛模式選擇,-,-,-,●
座椅材質,-,-,-,真皮
座椅高低調整,●,-,-,●
前座座椅調整,●,●,●,●
後座分離式傾倒,6/4,●,●,6/4
座椅記憶功能,●,●,●,●
後座杯架,-,●,●,-
後座扶手,-,●,●,-
外部音源接入,●,AUX-IN,AUX-IN,●
多媒體系統,-,-,-,●
藍牙通訊,●,-,●,●
音響系統,●,MP3、CD,MP3、CD,●
音響喇叭數量,●,8只,8只,8只
頭燈光源,-,-,HID,HID
感應頭燈,●,●,●,●
主動轉向頭燈,-,-,●,-
LED日行燈,-,-,●,●
LED尾燈,-,-,-,●
前霧燈,●,●,●,●
後霧燈,-,-,-,●
車輛動能回收系統,●,-,-,●
引擎啟閉系統,自動,-,-,自動
