Name,Yeti 2018 1.2TSI經典款,Yeti 2018 1.2 Black Edition,Yeti 2018 1.2TSI魅力款,Yeti 2018 2.0TDI
新車售價,88.8萬,98.8萬,98.8萬,122.8萬
車身型式,小型掀背車,小型掀背車,小型掀背車,小型掀背車
動力型式,汽油,汽油,汽油,柴油
變速系統,自手排7速,自手排7速,自手排7速,自手排6速
排氣量,1197cc,1197cc,1197cc,1968cc
極速(km/h),181km/h,181km/h,181km/h,192km/h
官方0-100km/h加速(s),11.3s,11.3s,11.3s,9.2s
能源局公佈平均油耗,16.3km/ltr,16.3km/ltr,16.3km/ltr,16.3km/ltr
能源效率等級,3,3,3,1
燃料稅,4320元,4320元,4320元,3708元
牌照稅,4320元,4320元,4320元,11230元
車長(mm),4222mm,4222mm,4222mm,4222mm
車寬(mm),1793mm,1793mm,1793mm,1793mm
車高(mm),1645mm,1645mm,1645mm,1645mm
軸距(mm),2578mm,2578mm,2578mm,2578mm
車重(kg),1360kg,1360kg,1360kg,1585kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,5座
行李容積(L),416L,416L,416L,416L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,8,8,8,16
最大馬力,110hp@5600rpm,110hp@5600rpm,110hp@5600rpm,150hp@3500rpm
最大扭力,17.9kgm@4000rpm,17.9kgm@4000rpm,17.9kgm@4000rpm,34.7kgm@3000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/55R16,225/50R17,205/55R16,225/50R17
後輪尺碼,205/55R16,225/50R17,205/55R16,225/50R17
引擎擺放位置,前置,前置,前置,前置
電動天窗,○,○,○,○
車頂行李架,●,●,●,●
輪圈規格,16吋,17吋,16吋,17吋
後雨刷,●,●,●,●
感應式雨刷,-,●,●,●
後視鏡自動防眩目,-,●,●,●
後視鏡加熱/除霧,●,●,●,-
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,●,●,●,-
方向盤調整,●,●,●,●
多功能方向盤,-,●,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
多功能資訊幕,●,●,●,●
中控鎖,●,●,●,●
恆溫空調,-,-,-,●
後座出風口,●,●,●,●
車內粉塵過濾,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
後座側面氣囊,-,●,●,●
側面氣簾,●,●,-,●
膝部氣囊,-,-,-,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●
煞車輔助系統,●,●,●,●
動態穩定系統,ESP,ESP,ESP,ESP
循跡系統,ASR/DSR,ASR/DSR,ASR/DSR,ASR
斜坡起步輔助,●,●,●,●
陡坡緩降系統,-,-,-,●
定速系統,-,●,●,●
倒車雷達,●,●,●,●
防盜系統,●,●,●,●
座椅材質,織布,織布,織布,真皮
座椅高低調整,●,●,●,●
腰部支撐調整,●,●,●,-
前座座椅調整,●,●,●,●
後座分離式傾倒,●,-,-,-
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,AUX-IN/USB,AUX-IN/USB,AUX-IN/USB,AUX-IN/USB/SD
多媒體系統,●,●,●,●
音響系統,●,●,●,●
音響喇叭數量,8,8,8,8
頭燈光源,鹵素,鹵素,鹵素,鹵素
感應頭燈,-,●,●,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
車輛動能回收系統,●,●,●,●
引擎啟閉系統,●,●,●,●
