Name,Fortwo 2018 52kW Pure,Fortwo 2018 52kW Passion
新車售價,72萬,77萬
車身型式,小型掀背車,小型掀背車
動力型式,汽油,汽油
變速系統,自手排6速雙離合器,自手排6速雙離合器
排氣量,999cc,999cc
極速(km/h),151km/h,151km/h
官方0-100km/h加速(s),15.1s,15.1s
能源局公佈平均油耗,21.0km/ltr,21.0km/ltr
能源效率等級,1,1
燃料稅,4320元,4320元
牌照稅,4320元,4320元
車長(mm),2695mm,2695mm
車寬(mm),1663mm,1663mm
車高(mm),1555mm,1555mm
軸距(mm),1873mm,1873mm
車重(kg),935kg,935kg
車門數,2門,2門
乘客數,2座,2座
油箱容量(L),35L,35L
行李容積(L),260L,260L
前輪距(mm),1469mm,1469mm
後輪距(mm),1430mm,1430mm
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列3缸
汽門數,12,12
壓縮比,14.8,14.8
最大馬力,71hp/6000rpm,71hp/6000rpm
最大扭力,9.1kgm/2850rpm,9.2kgm/2850rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂
煞車型式,前碟後鼓,前碟後鼓
前輪尺碼,165/65R15,165/65R15
後輪尺碼,185/60R15,185/60R15
引擎擺放位置,後置,後置
輪圈規格,15吋,15吋
後雨刷,●,●
感應式雨刷,●,○
後視鏡自動防眩目,○,○
後視鏡加熱/除霧,●,●
後視鏡電動調整,●,●
方向盤調整,●,●
多功能方向盤,-,●
方向盤換檔,-,○
動力方向盤,●,-
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
中控鎖,●,●
衛星導航,-,○
恆溫空調,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
膝部氣囊,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISOFIX
ABS防鎖死,●,●
煞車輔助系統,BAS,BAS
動態穩定系統,ESP,ESP
車道偏離警示,○,○
斜坡起步輔助,●,●
定速系統,●,●
倒車雷達,●,●
倒車顯影系統,-,○
防盜系統,-,○
座椅材質,織布,織布
座椅高低調整,手動,手動
前座座椅調整,●,●
加熱座椅,-,○
外部音源接入,●,●
多媒體系統,-,○
藍牙通訊,●,-
音響系統,●,●
音響喇叭數量,2,2
頭燈光源,鹵素,鹵素
感應頭燈,-,○
LED日行燈,●,○
LED尾燈,-,○
前霧燈,●,○
轉向輔助照明,-,○
引擎啟閉系統,●,-
