Name,Actyon Sports 2018 2.0d 4WD
新車售價,132.8萬
車身型式,貨卡車 Pick-up
動力型式,柴油
變速系統,手自排5速
排氣量,1998cc
能源局公佈平均油耗,11.1km/ltr
燃料稅,3708元
牌照稅,11230元
車長(mm),4990mm
車寬(mm),1910mm
車高(mm),1790mm
軸距(mm),3060mm
車重(kg),1995kg
車門數,4門
乘客數,5座
油箱容量(L),75L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,16.5
最大馬力,155hp@4000rpm
最大扭力,36.7kgm@1500~2800rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,255/60R18
後輪尺碼,255/60R18
引擎擺放位置,前置
電動天窗,●
輪圈規格,18吋
後視鏡加熱/除霧,●
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
Keyless免匙系統,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
ABS防鎖死,●
循跡系統,●
斜坡起步輔助,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
座椅材質,真皮
前座座椅調整,●
加熱座椅,●
外部音源接入,USB、AUX-IN
音響系統,MP3、DVD、CD
音響喇叭數量,4只
前霧燈,●
後霧燈,●
