Name,Korando 2013 e-XDi 200 2WD豪華版,Korando 2013 e-XDi 200 AWD旗艦版
新車售價,114.8萬,139.8萬
車身型式,中型SUV休旅,中型SUV休旅
動力型式,柴油,柴油
變速系統,手自排6速,手自排6速
排氣量,1998cc,1998cc
能源局公佈平均油耗,11.3km/ltr,11.8km/ltr
燃料稅,3708元,3708元
牌照稅,11230元,11230元
車長(mm),4410mm,4410mm
車寬(mm),1830mm,1830mm
車高(mm),1710mm,1710mm
軸距(mm),2650mm,2650mm
車重(kg),1611kg,1692kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,16.5,16.5
最大馬力,175hp@4000rpm,175hp@4000rpm
最大扭力,36.7kgm@2000~3000rpm,36.7kgm@2000~3000rpm
驅動型式,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,215/65R16,225/55R18
後輪尺碼,215/65R16,225/55R18
電動天窗,-,●
車頂行李架,●,●
感應式雨刷,-,●
方向盤換檔,●,●
旅程電腦,●,●
中央顯示幕,●,●
衛星導航,-,●
恆溫空調,-,●
車內粉塵過濾,-,●
前座正面氣囊,●,●
前座側面氣囊,-,●
側面氣簾,-,●
ABS防鎖死,●,●
循跡系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
座椅材質,織布,-
後座分離式傾倒,●,●
加熱座椅,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,AUX-IN,AUX-IN
數位電視,-,●
音響系統,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,6只,6只
感應頭燈,-,●
前霧燈,●,●
後霧燈,●,●
