Name,Stavic 2016 2.2d RWD,Stavic 2016 2.2d 4WD
新車售價,152.8萬,152.8萬
車身型式,MPV休旅,MPV休旅
動力型式,柴油,柴油
變速系統,自手排7速,自手排7速
排氣量,2157cc,2157cc
極速(km/h),181km/h,181km/h
能源局公佈平均油耗,11.1km/ltr,11.5km/ltr
能源效率等級,1,1
燃料稅,3708元,3708元
牌照稅,11230元,11230元
車長(mm),5130mm,5130mm
車寬(mm),1915mm,1915mm
車高(mm),1850mm,1850mm
軸距(mm),3000mm,3000mm
車重(kg),1992kg,1992kg
車門數,5門,5門
乘客數,7座,7座
油箱容量(L),80L,80L
前輪距(mm),1610mm,1610mm
後輪距(mm),1620mm,1620mm
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
最大馬力,178hp@4000rpm,178hp@4000rpm
最大扭力,40.8kgm@1400~2800rpm,40.8kgm@1400~2800rpm
缸徑(mm),86.2mm,86.2mm
衝程(mm),92.4mm,92.4mm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿
煞車型式,四輪碟煞,四輪碟煞
前輪尺碼,235/60R17,235/60R17
後輪尺碼,235/60R17,235/60R17
引擎擺放位置,前置,前置
電動天窗,●,●
輪圈規格,17吋,17吋
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
方向盤調整,●,手動4向
多功能方向盤,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
恆溫空調,●,●
後座出風口,●,●
前座正面氣囊,●,●
胎壓偵測,●,●
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESP,ESP
循跡系統,●,●
定速系統,●,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,真皮,真皮
座椅高低調整,●,●
前座座椅調整,●,●
後座分離式傾倒,●,●
第三排座椅,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,●,AUX-IN、USB
藍牙通訊,●,●
頭燈光源,鹵素,鹵素
前霧燈,●,●
