Name,Tivoli 2019 1.6 汽油經典版,Tivoli 2019 1.6 柴油菁英版,Tivoli 2019 1.6 汽油豪華版,Tivoli 2019 1.6 柴油豪華版,Tivoli 2019 1.6 柴油豪華AWD版
新車售價,74.8萬,82.8萬,86.8萬,94.8萬,99.8萬
車身型式,小型SUV休旅,小型SUV休旅,小型SUV休旅,小型SUV休旅,小型SUV休旅
動力型式,汽油,柴油,汽油,柴油,柴油
變速系統,手自排6速,手自排6速,手自排6速,手自排6速,手自排6速
排氣量,1597cc,1597cc,1597cc,1597cc,1597cc
能源局公佈平均油耗,12.2km/ltr,16.2km/ltr,12.2km/ltr,16.2km/ltr,14.9km/ltr
燃料稅,4800元,2880元,4800元,2880元,2880元
牌照稅,7120元,7120元,7120元,7120元,7120元
車長(mm),4202mm,4202mm,4202mm,4202mm,4202mm
車寬(mm),1798mm,1798mm,1798mm,1798mm,1798mm
車高(mm),1590mm,1590mm,1590mm,1590mm,1590mm
軸距(mm),2600mm,2600mm,2600mm,2600mm,2600mm
車重(kg),1300~1363kg,1390~1453kg,1300~1363kg,1390~1453kg,1480~1543kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座
油箱容量(L),47L,47L,47L,47L,47L
行李容積(L),423L,423L,423L,423L,423L
進氣型式,自然吸氣,渦輪增壓,自然吸氣,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
壓縮比,10.5,15.5,10.5,15.5,15.5
最大馬力,128hp@6000rpm,115hp@3400~4000rpm,128hp@6000rpm,115hp@3400~4000rpm,115hp@3400~4000rpm
最大扭力,16.3kgm@4600rpm,30.6kgm@1500~2500rpm,16.3kgm@4600rpm,30.6kgm@1500~2500rpm,30.6kgm@1500~2500rpm
缸徑(mm),76mm,76mm,76mm,76mm,76mm
衝程(mm),88mm,88mm,88mm,88mm,88mm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,扭力樑,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/60R16,205/60R16,215/45R18,215/45R18,215/45R18
後輪尺碼,205/60R16,205/60R16,215/45R18,215/45R18,215/45R18
引擎擺放位置,前置,前置,前置,前置,前置
車頂行李架,○,○,○,○,○
輪圈規格,16吋,16吋,18吋,18吋,18吋
後雨刷,●,●,●,●,●
感應式雨刷,-,-,●,●,●
後視鏡自動防眩目,-,-,●,●,●
後視鏡加熱/除霧,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
多功能資訊幕,●,●,●,●,●
Keyless免匙系統,●,●,●,●,●
中控鎖,●,●,●,●,●
衛星導航,-,-,●,●,●
恆溫空調,-,-,雙區,雙區,雙區
前座正面氣囊,●,●,●,●,●
前座側面氣囊,●,●,●,●,●
側面氣簾,●,●,●,●,●
膝部氣囊,●,●,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,BAS/HBA/ESS/EBD,BAS/HBA/ESS/EBD,BAS/HBA/ESS/EBD/AEB,BAS/HBA/ESS/EBD/AEB,BAS/HBA/ESS/EBD/AEB
動態穩定系統,ESP,ESP,ESP,ESP,ESP
車道偏離警示,-,-,●,●,●
循跡系統,ASR,ASR,ASR,ASR,ASR
主動安全預防系統,-,-,●,●,●
斜坡起步輔助,●,●,●,●,●
陡坡緩降系統,●,●,●,●,●
定速系統,●,●,●,●,●
倒車雷達,前後,前後,前後,前後,前後
倒車顯影系統,-,-,●,●,●
防盜系統,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●
座椅材質,皮布雙織,皮布雙織,皮革,皮革,皮革
座椅高低調整,●,●,駕駛座電動,駕駛座電動,駕駛座電動
腰部支撐調整,-,-,駕駛座電動,駕駛座電動,駕駛座電動
前座座椅調整,●,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4,6/4
加熱座椅,-,-,●,●,●
通風座椅,-,-,●,●,●
外部音源接入,●,●,●,●,●
多媒體系統,-,-,8吋,8吋,8吋
藍牙通訊,●,●,●,●,●
音響系統,●,●,●,●,●
音響喇叭數量,6,6,6,6,6
頭燈光源,鹵素,鹵素,鹵素,鹵素,鹵素
感應頭燈,-,-,-,●,●
頭燈水準自動調整,-,-,●,●,●
自適應遠近光,-,-,●,●,●
LED日行燈,-,●,●,●,●
LED尾燈,●,●,●,●,●
前霧燈,●,●,●,●,●
後霧燈,●,●,●,●,●
引擎啟閉系統,●,●,●,●,●
