Name,XLV 2019 1.6 柴油豪華AWD版
新車售價,105.8萬
車身型式,小型SUV休旅
動力型式,柴油
變速系統,手自排6速
排氣量,1597cc
能源局公佈平均油耗,14.2km/ltr
燃料稅,2880元
牌照稅,7120元
車長(mm),4440mm
車寬(mm),1798mm
車高(mm),1605mm
軸距(mm),2600mm
車重(kg),1583~1600kg
車門數,5門
乘客數,5座
油箱容量(L),47L
行李容積(L),720L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,15.5
最大馬力,115hp@3400~4000rpm
最大扭力,30.6kgm@1500~2500rpm
缸徑(mm),76mm
衝程(mm),88mm
驅動型式,四輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,215/45R18
後輪尺碼,215/45R18
引擎擺放位置,前置
車頂行李架,●
輪圈規格,18吋
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
動力方向盤,●
旅程電腦,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,雙區
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
膝部氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,BAS/HBA/ESS/EBD/AEB
動態穩定系統,ESP
車道偏離警示,●
循跡系統,ASR
主動安全預防系統,●
斜坡起步輔助,●
陡坡緩降系統,●
定速系統,●
倒車雷達,前後
倒車顯影系統,●
防盜系統,●
駕駛模式選擇,●
座椅材質,皮革
座椅高低調整,駕駛座電動
腰部支撐調整,駕駛座電動
前座座椅調整,●
後座分離式傾倒,6/4
加熱座椅,●
通風座椅,●
外部音源接入,●
多媒體系統,8吋
藍牙通訊,●
音響系統,●
音響喇叭數量,6
頭燈光源,鹵素
感應頭燈,●
頭燈水準自動調整,●
自適應遠近光,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
引擎啟閉系統,●
