Name,BRZ 2017 6MT,BRZ 2017 6AT
新車售價,132萬,133萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,手排6速,手自排6速
排氣量,1998cc,1998cc
極速(km/h),226km/h,210km/h
能源局公佈平均油耗,11.7km/ltr,13.2km/ltr
能源效率等級,3,2
燃料稅,6180元,6180元
牌照稅,11230元,11230元
車長(mm),4220mm,4220mm
車寬(mm),1755mm,1755mm
車高(mm),1320mm,1320mm
軸距(mm),2570mm,2570mm
車重(kg),1260kg,1260kg
車門數,2門,2門
乘客數,4座,4座
油箱容量(L),50L,50L
行李容積(L),243L,243L
前輪距(mm),1520mm,1520mm
後輪距(mm),1540mm,1540mm
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,水平對臥4缸,水平對臥4缸
汽門數,16,16
壓縮比,12.5,12.5
最大馬力,200hp@7000rpm,200hp@7000rpm
最大扭力,20.9kgm@6400~6000rpm,20.9kgm@6400~6000rpm
缸徑(mm),86mm,86mm
衝程(mm),86mm,86mm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,215/45R17,215/45R17
後輪尺碼,215/45R17,215/45R17
引擎擺放位置,前置,前置
感應式雨刷,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,手動4向,手動4向
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
Keyless免匙系統,●,●
中控鎖,-,●
恆溫空調,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,-
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESP,ESP
循跡系統,●,●
定速系統,●,●
倒車雷達,●,●
防盜系統,●,●
駕駛模式選擇,-,●
座椅材質,皮革,皮革
前座座椅調整,●,●
外部音源接入,●,"USB, Aux-in"
多媒體系統,●,●
藍牙通訊,●,●
音響喇叭數量,6,6
頭燈光源,LED,LED
感應頭燈,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
