Name,Legacy Sedan 2013 2.5 GT
新車售價,143萬
車身型式,大型房車
動力型式,汽油
變速系統,手自排5速
排氣量,2457cc
能源局公佈平均油耗,11km/ltr
燃料稅,7200元
牌照稅,15210元
車長(mm),4745mm
車寬(mm),1780mm
車高(mm),1505mm
軸距(mm),2750mm
車重(kg),1562kg
車門數,4門
乘客數,5座
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,水平對臥4缸
汽門數,16
壓縮比,8.4
最大馬力,265hp@5600rpm
最大扭力,35.0kgm@2400~5200rpm
驅動型式,四輪驅動
前輪懸吊,麥花臣
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,225/45R18
後輪尺碼,225/45R18
電動天窗,●
感應式雨刷,●
後視鏡加熱/除霧,●
後視鏡電動折疊,●
後視鏡方向指示燈,●
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
斜坡起步輔助,●
定速系統,●
倒車顯影系統,●
防盜系統,●
前座座椅調整,●
座椅記憶功能,●
加熱座椅,●
後座杯架,●
後座扶手,●
外部音源接入,USB、AUX-IN
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,6只
頭燈光源,HID
感應頭燈,●
前霧燈,●
後霧燈,●
