Name,Levorg 2018 1.6 GT-S,Levorg 2018 1.6 GT-S Eyesight,Levorg 2018 2.0 GT-S Eyesight
新車售價,120萬,125萬,139.8萬
車身型式,Wagon旅行車,Wagon旅行車,Wagon旅行車
動力型式,汽油,汽油,汽油
變速系統,無段變速,無段變速,無段變速
排氣量,1600cc,1600cc,1998cc
極速(km/h),210km/h,210km/h,235km/h
官方0-100km/h加速(s),8.9s,8.9s,-
能源局公佈平均油耗,13.5km/ltr,13.5km/ltr,11.1km/ltr
能源效率等級,3,3,4
燃料稅,4800元,4800元,6180元
牌照稅,7120元,7120元,11230元
車長(mm),4690mm,4690mm,4690mm
車寬(mm),1780mm,1780mm,1780mm
車高(mm),1490mm,1490mm,1490mm
軸距(mm),2650mm,2650mm,2650mm
車重(kg),1609kg,1612kg,1623kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),60L,60L,60L
行李容積(L),522~1446L,522~1446L,522~1446L
前輪距(mm),1530mm,1530mm,1530mm
後輪距(mm),1540mm,1540mm,1540mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,水平對臥4缸,水平對臥4缸,水平對臥4缸
汽門數,16,16,16
壓縮比,11,11,11
最大馬力,170hp@4800~5600rpm,170hp@4800~5600rpm,268hp@
最大扭力,25.5kgm@1800~4800rpm,25.5kgm@1800~4800rpm,35.7kgm@
缸徑(mm),78.8mm,78.8mm,-
衝程(mm),82mm,82mm,-
驅動型式,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,雙A臂,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/45R18,225/45R18,225/45R18
後輪尺碼,225/45R18,225/45R18,225/45R18
引擎擺放位置,前置,前置,前置
電動天窗,●,●,●
輪圈規格,18吋,18吋,18吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
恆溫空調,雙區,雙區,雙區
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,VDC,VDC,VDC
車道偏離警示,-,●,●
循跡系統,ATV,ATV,ATV
主動安全預防系統,●,●,●
斜坡起步輔助,●,●,●
陡坡緩降系統,●,●,●
定速系統,●,●,●
盲點偵測系統,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
主動式智慧定速系統,-,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,皮革,皮革,皮革
跑車式座椅,●,●,●
座椅高低調整,駕駛座電動,駕駛座電動,駕駛座電動
腰部支撐調整,駕駛座電動,駕駛座電動,駕駛座電動
前座座椅調整,●,●,●
後座座椅調整,●,●,●
後座分離式傾倒,4/2/4,4/2/4,4/2/4
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,7吋,7吋,7吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,6,6,6
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
主動轉向頭燈,●,●,●
頭燈水準自動調整,●,●,●
自適應遠近光,●,●,●
LED日行燈,●,-,-
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,-
