Name,XV 2018 2.0i,XV 2018 2.0i-S,XV 2018 2.0i-S EyeSight
新車售價,95萬,108萬,113萬
車身型式,中型SUV休旅,中型SUV休旅,中型SUV休旅
動力型式,汽油,汽油,汽油
變速系統,無段變速CVT,無段變速CVT,無段變速CVT
排氣量,1995cc,1995cc,1995cc
極速(km/h),194km/h,194km/h,194km/h
能源局公佈平均油耗,14.3km/ltr,13.3km/ltr,13.8km/ltr
能源效率等級,1,2,2
燃料稅,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元
車長(mm),4465mm,4465mm,4465mm
車寬(mm),1800mm,1800mm,1800mm
車高(mm),1615mm,1615mm,1615mm
軸距(mm),2665mm,2665mm,2665mm
車重(kg),1415kg,1461kg,1461kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),63L,63L,63L
最小離地高度(mm),220mm,220mm,220mm
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,水平對臥4缸,水平對臥4缸,水平對臥4缸
汽門數,16,16,16
壓縮比,12.5,12.5,12.5
最大馬力,156hp@6000rpm,156hp@6000rpm,156hp@6000rpm
最大扭力,20.0kgm@4000rpm,20.0kgm@4000rpm,20.0kgm@4000rpm
缸徑(mm),84mm,84mm,84mm
衝程(mm),90mm,90mm,90mm
驅動型式,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,雙A臂,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/60R17,225/55R18,225/55R18
後輪尺碼,225/60R17,225/55R18,225/55R18
引擎擺放位置,前置,前置,前置
電動天窗,-,●,●
車頂行李架,●,●,●
輪圈規格,17吋,18吋,18吋
後雨刷,●,●,●
感應式雨刷,-,●,●
後視鏡自動防眩目,-,車內,車內
後視鏡電動折疊,-,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,-,●,●
方向盤調整,手動4向,手動4向,手動4向
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,-,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
恆溫空調,單區,雙區,雙區
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,VDC,VDC,VDC
車道偏離警示,-,-,●
循跡系統,●,●,●
主動安全預防系統,-,●,●
斜坡起步輔助,●,●,●
陡坡緩降系統,●,●,●
定速系統,-,●,●
盲點偵測系統,-,●,●
倒車雷達,○,○,○
倒車顯影系統,●,●,●
防盜系統,●,●,●
主動式智慧定速系統,-,-,●
電子手剎車,●,●,●
座椅材質,織布,皮革,皮革
座椅高低調整,手動4向,駕駛座8向電動,駕駛座8向電動
前座座椅調整,●,●,●
後座分離式傾倒,6/4,6/4,6/4
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,USB/AUX-IN,USB、AUX-IN,USB、AUX-IN
多媒體系統,6.5吋,8吋,8吋
藍牙通訊,●,●,●
音響系統,CD/MP3,CD/MP3,CD/MP3
音響喇叭數量,4,6,6
頭燈光源,鹵素,LED,LED
感應頭燈,-,●,●
主動轉向頭燈,-,●,●
頭燈水準自動調整,-,●,●
自適應遠近光,-,●,●
LED日行燈,-,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
