Name,Ignis 2018 1.2L
新車售價,62.8萬
車身型式,掀背車 Hatchback
動力型式,汽油
變速系統,無段變速CVT
排氣量,1242cc
能源局公佈平均油耗,19.9km/ltr
能源效率等級,1
燃料稅,4800元
牌照稅,7120元
車長(mm),3700mm
車寬(mm),1660mm
車高(mm),1595mm
軸距(mm),2435mm
車重(kg),865kg
車門數,5門
乘客數,5座
油箱容量(L),32L
行李容積(L),267L
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,12.5：1
最大馬力,91hp/6000rpm
最大扭力,12.2kgm/4400rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,扭力樑
煞車型式,前輪碟煞 後輪鼓煞
前輪尺碼,175/60R16
後輪尺碼,175/60R16
引擎擺放位置,前置
輪圈規格,16吋
後雨刷,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,●
循跡系統,●
斜坡起步輔助,●
定速系統,●
倒車雷達,●
防盜系統,●
座椅材質,織布
座椅高低調整,●
前座座椅調整,●
後座分離式傾倒,●
外部音源接入,"AUX-IN,USB"
藍牙通訊,●
音響系統,●
音響喇叭數量,6
頭燈光源,LED
感應頭燈,●
LED日行燈,●
前霧燈,●
後霧燈,●
引擎啟閉系統,●
