Name,Vitara 2018 GLX,Vitara 2018 S,Vitara 2018 S AllGrip
新車售價,76.8萬,84.8萬,89.8萬
車身型式,小型SUV休旅,小型SUV休旅,小型SUV休旅
動力型式,汽油,汽油,汽油
變速系統,手自排6速,手自排6速,手自排6速
排氣量,1586cc,1373cc,1373cc
能源局公佈平均油耗,17.2km/ltr,18km/ltr,15.5km/ltr
能源效率等級,1,1,1
燃料稅,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元
車長(mm),4175mm,4175mm,4175mm
車寬(mm),1775mm,1775mm,1775mm
車高(mm),1610mm,1610mm,1610mm
軸距(mm),2500mm,2500mm,2500mm
車重(kg),1150kg,1185kg,1260kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),47L,47L,47L
行李容積(L),375L,375L,375L
前輪距(mm),1535mm,1535mm,1535mm
後輪距(mm),1505mm,1505mm,1505mm
進氣型式,自然吸氣,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,11:1,9.9:1,9.9:1
最大馬力,119hp@6000rpm,140hp@5500rpm,140hp@5500rpm
最大扭力,15.9kgm@4400rpm,22.4kgm@1500~4000rpm,22.4kgm@1500~4000rpm
驅動型式,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/55R17,215/55R17,215/55R17
後輪尺碼,215/55R17,215/55R17,215/55R17
引擎擺放位置,前置,前置,前置
車頂行李架,●,●,●
輪圈規格,17吋,17吋,17吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,-,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,手動4向,手動4向,手動4向
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,-,-,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
恆溫空調,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD/BA,EBD/BA,EBD/BA
動態穩定系統,EPS/ESP,EPS/ESP,EPS/ESP
循跡系統,●,●,●
斜坡起步輔助,●,●,●
陡坡緩降系統,-,-,●
定速系統,●,●,●
倒車雷達,●,●,●
防盜系統,●,●,●
駕駛模式選擇,-,-,●
座椅材質,皮革,皮革,皮革
座椅高低調整,●,●,●
前座座椅調整,●,●,●
後座分離式傾倒,6/4,6/4,6/4
外部音源接入,USB,USB,USB
藍牙通訊,●,●,●
音響系統,CD/MP3,CD/MP3,CD/MP3
音響喇叭數量,6,6,6
頭燈光源,近LED/遠鹵素,近LED/遠鹵素,近LED/遠鹵素
感應頭燈,●,●,●
頭燈水準自動調整,●,●,●
LED日行燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
