Name,Model X 2018 75D,Model X 2018 100D,Model X 2018 P100D
新車售價,383萬,461.1萬,664.05萬
車身型式,休旅車 SUV,休旅車 SUV,休旅車 SUV
動力型式,電動,電動,電動
極速(km/h),210km/h,250km/h,250km/h
官方0-100km/h加速(s),6.2s,5.0s,3.1s
車長(mm),5037mm,5037mm,5037mm
車寬(mm),2070mm,2070mm,2070mm
軸距(mm),2965mm,2965mm,2965mm
車門數,5門,5門,5門
乘客數,5座,5座,5座
前輪距(mm),1661mm,1661mm,1661mm
後輪距(mm),1699mm,1699mm,1699mm
最小離地高度(mm),137mm,137mm,137mm
風阻係數,0.24,0.24,0.24
電動機總功率(kW),75kW,100kW,100kW
純電池里程(km),417km,565km,542km
驅動型式,四輪驅動,四輪驅動,四輪驅動
電動開闔尾門/行李蓋,●,●,●
輪圈規格,20吋,20吋,20吋
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,●,●,●
衛星導航,●,●,●
車內粉塵過濾,○,○,○
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
氣壓懸吊,●,●,●
後座分離式傾倒,6/4,6/4,6/4
第三排座椅,○,○,○
加熱座椅,○,○,○
頭燈光源,LED,LED,LED
LED日行燈,●,●,●
前霧燈,○,○,○
轉向輔助照明,○,○,○
