Name,M'way 2013 1.8樂活版,M'way 2013 1.8旗艦版
新車售價,58.9萬,63.9萬
車身型式,中型房車,中型房車
動力型式,汽油,汽油
變速系統,手自排CVT 6速,手自排CVT 6速
排氣量,1792cc,1792cc
能源局公佈平均油耗,11.7km/ltr,11.7km/ltr
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4635mm,4635mm
車寬(mm),1789mm,1789mm
車高(mm),1470mm,1470mm
軸距(mm),2650mm,2650mm
車重(kg),1275kg,1275kg
車門數,4門,4門
乘客數,5座,5座
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,10,10
最大馬力,137hp@6200rpm,137hp@6200rpm
最大扭力,17.5kgm@4200rpm,17.5kgm@4200rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,215/55R16,215/55R16
後輪尺碼,215/55R16,215/55R16
後視鏡加熱/除霧,●,●
後視鏡方向指示燈,●,●
旅程電腦,●,●
恆溫空調,●,●
前座正面氣囊,●,●
前座側面氣囊,-,●
側面氣簾,-,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,織布,-
後座分離式傾倒,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN
音響系統,MP3、CD,MP3、CD
音響喇叭數量,6只,6只
感應頭燈,●,●
LED日行燈,-,●
LED尾燈,●,●
後霧燈,●,●
