Name,86 2018 6MT
新車售價,123萬
車身型式,雙門跑車
動力型式,汽油
變速系統,手排6速
排氣量,1998cc
能源局公佈平均油耗,11.9km/ltr
能源效率等級,3
燃料稅,6180元
牌照稅,11230元
車長(mm),4240mm
車寬(mm),1775mm
車高(mm),1320mm
軸距(mm),2570mm
車重(kg),1235kg
車門數,2門
乘客數,4座
油箱容量(L),50L
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,水平對臥4缸
汽門數,16
最大馬力,200hp@7000rpm
最大扭力,20.9kgm@6400~6600rpm
驅動型式,後輪驅動
前輪懸吊,麥花臣
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,205/55R16
後輪尺碼,205/55R16
引擎擺放位置,前置
運動外觀套件,●
輪圈規格,16吋
後視鏡自動防眩目,●
後視鏡電動折疊,●
後視鏡電動調整,●
方向盤調整,●
動力方向盤,●
旅程電腦,●
中控鎖,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
膝部氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,BAS/EBD
動態穩定系統,VSC
循跡系統,TRC
斜坡起步輔助,●
倒車雷達,●
防盜系統,●
座椅材質,織布
跑車式座椅,●
座椅高低調整,●
腰部支撐調整,●
前座座椅調整,●
外部音源接入,●
音響系統,●
音響喇叭數量,6
頭燈光源,LED
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
