Name,Prado 2018 4.0VX
新車售價,263萬
車身型式,豪華SUV休旅
動力型式,汽油
變速系統,手自排6速
排氣量,3956cc
能源局公佈平均油耗,7.8km/ltr
能源效率等級,2
燃料稅,9810元
牌照稅,28220元
車長(mm),4840mm
車寬(mm),1885mm
車高(mm),1880mm
軸距(mm),2790mm
車重(kg),2290kg
車門數,5門
乘客數,7座
油箱容量(L),87L
前輪距(mm),1585mm
後輪距(mm),1585mm
最小離地高度(mm),220mm
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
壓縮比,10.4
最大馬力,278hp@5600rpm
最大扭力,39.5kgm@4400rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,265/60R18
後輪尺碼,265/60R18
引擎擺放位置,前置
電動天窗,●
車頂行李架,●
後雨刷,●
後視鏡自動防眩目,車內
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,電動4向
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,●
後座出風口,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
膝部氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,VSC
循跡系統,TRC
主動安全預防系統,●
斜坡起步輔助,●
陡坡緩降系統,●
定速系統,●
盲點偵測系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
主動式智慧定速系統,●
駕駛模式選擇,●
座椅材質,皮革
腰部支撐調整,電動
前座座椅調整,●
後座分離式傾倒,●
第三排座椅,●
後座杯架,●
後座扶手,●
外部音源接入,USB、AUX-IN
藍牙通訊,●
音響系統,CD
音響喇叭數量,9
頭燈光源,LED
感應頭燈,●
主動轉向頭燈,●
LED日行燈,●
前霧燈,●
後霧燈,●
引擎啟閉系統,●
