Name,Prius PHV 2017 Prius PHV
新車售價,159.9萬
車身型式,掀背車 Hatchback
動力型式,油電混合
變速系統,無段變速CVT
排氣量,1798cc
官方0-100km/h加速(s),11.1s
能源局公佈平均油耗,109.9km/ltr
能源效率等級,1
燃料稅,4800元
牌照稅,7120元
車長(mm),4645mm
車寬(mm),1760mm
車高(mm),1470mm
軸距(mm),2700mm
車重(kg),1550kg
車門數,5門
乘客數,4座
油箱容量(L),43L
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,13:1
最大馬力,98hp/5200rpm
最大扭力,14.5kgm/6000rpm
油電綜效輸出,122hp
電池容量(kWh),8.8kwh
純電池里程(km),64km
充電時間,6小時
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,雙A臂
煞車型式,四輪碟煞
前輪尺碼,195/65R15
後輪尺碼,195/65R15
引擎擺放位置,前置
輪圈規格,15吋
後雨刷,●
感應式雨刷,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,手動4向
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
抬頭顯示幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
後座側面氣囊,●
側面氣簾,●
膝部氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,●
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,●
車道偏離警示,●
循跡系統,●
主動安全預防系統,●
斜坡起步輔助,●
定速系統,●
駕駛警示系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
主動式智慧定速系統,●
駕駛模式選擇,●
座椅材質,皮革
座椅高低調整,●
腰部支撐調整,電動
前座座椅調整,●
後座分離式傾倒,●
加熱座椅,●
後座杯架,●
後座扶手,●
外部音源接入,"AUX-in,USB"
多媒體系統,觸控螢幕
藍牙通訊,●
音響系統,DVD
音響喇叭數量,10
頭燈光源,LED
感應頭燈,●
頭燈水準自動調整,●
自適應遠近光,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
轉向輔助照明,●
引擎啟閉系統,●
