Name,Prius α 2018 1.8
新車售價,125萬
車身型式,MPV休旅
動力型式,油電混合
變速系統,無段變速CVT
排氣量,1798cc
官方0-100km/h加速(s),11.3s
能源局公佈平均油耗,20km/ltr
能源效率等級,1
燃料稅,4800元
牌照稅,7120元
車長(mm),4645mm
車寬(mm),1775mm
車高(mm),1600mm
軸距(mm),2780mm
車重(kg),1570kg
車門數,5門
乘客數,7座
油箱容量(L),45L
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,13
最大馬力,99hp@5200rpm
最大扭力,14.5 kgm@4000rpm
馬達出力,82hp
油電綜效輸出,136hp
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,拖曳臂
煞車型式,前後碟煞
前輪尺碼,215/50R17
後輪尺碼,215/50R17
引擎擺放位置,前置
電動天窗,●
輪圈規格,17吋
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,車內
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,手動4向
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
膝部氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,VSC
車道偏離警示,●
循跡系統,TRC
主動安全預防系統,●
斜坡起步輔助,●
定速系統,●
駕駛警示系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
主動式智慧定速系統,●
駕駛模式選擇,●
座椅材質,皮革
座椅高低調整,●
腰部支撐調整,電動
前座座椅調整,●
後座座椅調整,●
後座前後滑移,●
後座分離式傾倒,●
第三排座椅,●
加熱座椅,●
後座杯架,●
後座扶手,●
外部音源接入,AUX-IN、USB
多媒體系統,觸控式音響
藍牙通訊,●
音響系統,MP3、DVD
音響喇叭數量,6
頭燈光源,LED
感應頭燈,●
頭燈水準自動調整,●
自適應遠近光,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
引擎啟閉系統,觸控
