Name,Prius 2019 Prius
新車售價,112.9萬
車身型式,中型掀背車
動力型式,油電混合
變速系統,無段變速CVT
排氣量,1798cc
能源局公佈平均油耗,26.7km/ltr
能源效率等級,1
燃料稅,4800元
牌照稅,7120元
車長(mm),4575mm
車寬(mm),1760mm
車高(mm),1470mm
軸距(mm),2700mm
車重(kg),1405kg
車門數,5門
乘客數,5座
油箱容量(L),43L
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,13
最大馬力,98hp@5200 rpm
最大扭力,14.5 kgm@3600 rpm
馬達出力,72hp
油電綜效輸出,122hp
電池種類,鎳氫
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,195/65R15
後輪尺碼,195/65R15
引擎擺放位置,前置
輪圈規格,15吋
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡電動折疊,●
後視鏡電動調整,●
方向盤調整,●
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
抬頭顯示幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
膝部氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,VSC
車道偏離警示,●
循跡系統,TRC
主動安全預防系統,●
斜坡起步輔助,●
定速系統,●
盲點偵測系統,●
駕駛警示系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
主動式智慧定速系統,●
駕駛模式選擇,●
座椅材質,皮革
座椅高低調整,駕駛座電動
腰部支撐調整,駕駛座電動
前座座椅調整,●
後座分離式傾倒,6/4
加熱座椅,●
後座杯架,●
後座扶手,●
外部音源接入,●
多媒體系統,●
藍牙通訊,●
音響系統,●
音響喇叭數量,10
頭燈光源,LED
感應頭燈,●
頭燈水準自動調整,●
自適應遠近光,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
