Name,RAV4 2018 2.0經典,RAV4 2018 2.0豪華,RAV4 2018 2.0尊爵,RAV4 2018 2.5尊爵,RAV4 2018 2.5旗艦4WD,RAV4 2018 2.5Hybrid 尊爵,RAV4 2018 2.5Hybrid 旗艦4WD
新車售價,84.9萬,96.9萬,100.9萬,109.9萬,119.9萬,120萬,139萬
車身型式,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅
動力型式,汽油,汽油,汽油,汽油,汽油,油電混合,油電混合
變速系統,無段變速,無段變速,無段變速,手自排6速,手自排6速,無段變速,手自排6速
排氣量,1987cc,1987cc,1987cc,2494cc,2494cc,2494cc,2494cc
能源局公佈平均油耗,13.6km/ltr,13.6km/ltr,13.6km/ltr,11.5km/ltr,10.7km/ltr,19.6km/ltr,17.9km/ltr
能源效率等級,1,1,1,2,3,1,1
燃料稅,6180元,6180元,6180元,7200元,7200元,7200元,7200元
牌照稅,11230元,11230元,11230元,15210元,15210元,15210元,15210元
車長(mm),4605mm,4605mm,4605mm,4605mm,4605mm,4605mm,4605mm
車寬(mm),1845mm,1845mm,1845mm,1845mm,1845mm,1845mm,1845mm
車高(mm),1685mm,1685mm,1685mm,1715mm,1715mm,1715mm,1715mm
軸距(mm),2660mm,2660mm,2660mm,2660mm,2660mm,2660mm,2660mm
車重(kg),1520kg,1520kg,1520kg,1575kg,1630kg,1705kg,1770kg
車門數,5門,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),60L,60L,60L,60L,60L,56L,56L
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16,16
壓縮比,10,10,10,10.4,10.4,12.5,12.5
最大馬力,146hp@6200rpm,146hp@6200rpm,146hp@6200rpm,180hp@6000rpm,180hp@6000rpm,155hp@5700rpm,155hp@5700rpm
最大扭力,19.1kgm@3700~3900rpm,19.1kgm@3700~3900rpm,19.1kgm@3700~3900rpm,23.8kgm@4100rpm,23.8kgm@4100rpm,21.4kgm@4200~4400rpm,21.4kgm@4200~4400rpm
油電綜效輸出,-,-,-,-,-,197hp,197hp
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,四輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
煞車型式,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞
前輪尺碼,225/65R17,225/65R17,225/65R17,225/65R17,225/65R17,225/65R17,225/65R17
後輪尺碼,225/65R17,225/65R17,225/65R17,225/65R17,225/65R17,225/65R17,225/65R17
引擎擺放位置,前置,前置,前置,前置,前置,前置,前置
電動天窗,-,-,-,-,●,●,●
電動開闔尾門/行李蓋,-,-,-,●,●,●,●
車頂行李架,-,-,-,●,●,●,●
輪圈規格,17吋,17吋,17吋,17吋,17吋,17吋,17吋
後雨刷,●,●,●,●,●,●,●
感應式雨刷,-,-,-,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●,●,●
後視鏡加熱/除霧,-,-,●,-,-,-,-
後視鏡電動折疊,●,●,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●,●,●
方向盤調整,●,●,●,●,●,●,●
多功能方向盤,●,●,●,●,●,●,●
動力方向盤,●,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●,●
中央顯示幕,●,●,●,●,●,●,●
多功能資訊幕,●,●,●,●,●,●,●
Keyless免匙系統,-,●,●,●,●,●,●
中控鎖,●,●,●,●,●,●,●
恆溫空調,-,●,●,●,●,雙區,●
車內粉塵過濾,-,-,●,-,-,-,-
前座正面氣囊,●,●,●,●,●,●,●
前座側面氣囊,-,●,●,●,●,●,●
側面氣簾,-,●,●,●,●,●,●
膝部氣囊,●,●,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●,●,●
煞車輔助系統,ABS+BAS+EBD+BOS,ABS+BAS+EBD+BOS,ABS+BAS+EBD+BOS,ABS+BAS+EBD+BOS,ABS+BAS+EBD+BOS,ABS+BAS+EBD+BOS,ABS+BAS+EBD+BOS
動態穩定系統,VSC,VSC,VSC,VSC,VSC,VSC,VSC
車道偏離警示,-,-,●,●,●,●,●
循跡系統,●,●,●,●,●,●,●
主動安全預防系統,-,-,●,●,●,●,●
斜坡起步輔助,●,●,●,●,●,●,●
陡坡緩降系統,-,-,-,●,●,●,●
定速系統,-,●,●,●,●,●,●
盲點偵測系統,-,-,-,●,●,●,●
駕駛警示系統,-,-,-,●,●,●,●
倒車雷達,●,●,●,●,●,●,●
倒車顯影系統,-,-,-,●,●,-,●
防盜系統,-,-,●,●,●,●,●
主動式智慧定速系統,-,-,●,●,●,-,-
駕駛模式選擇,●,●,●,●,●,●,●
座椅材質,織布,皮革,皮革,真皮,真皮,皮革,皮革
座椅高低調整,●,●,●,●,●,駕駛座電動,●
腰部支撐調整,●,●,●,●,●,駕駛座電動,●
前座座椅調整,●,●,●,●,●,●,●
後座座椅調整,●,●,●,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,●,●,6/4,6/4
後座杯架,●,●,●,●,●,●,●
後座扶手,●,●,●,●,●,●,●
外部音源接入,●,●,●,●,●,●,●
多媒體系統,-,-,7吋,7吋,7吋,7吋,7吋
數位電視,-,-,-,-,-,-,●
藍牙通訊,●,●,●,●,●,●,●
音響系統,●,●,●,●,●,●,●
音響喇叭數量,6,6,6,6,6,6,6
頭燈光源,鹵素,LED,LED,LED,LED,LED,LED
感應頭燈,-,●,●,●,●,●,●
頭燈水準自動調整,-,-,●,●,●,●,●
自適應遠近光,-,-,●,●,●,●,●
LED日行燈,●,●,●,●,●,●,●
LED尾燈,●,●,●,●,●,●,●
前霧燈,-,●,●,●,●,●,●
後霧燈,●,●,●,●,●,●,●
