Name,Sienna 2018 LE,Sienna 2018 SE,Sienna 2018 XLE,Sienna 2018 XLE AWD,Sienna 2018 XLE Welcab,Sienna 2018 LIMITED
新車售價,198萬,228萬,238萬,238萬,264萬,290萬
車身型式,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,3456cc,3456cc,3456cc,3456cc,3456cc,3456cc
官方0-100km/h加速(s),8.54s,8.54s,8.54s,8.54s,8.54s,8.54s
能源局公佈平均油耗,9.0km/ltr,9.0km/ltr,9.0km/ltr,8.3km/ltr,9.2km/ltr,8.6km/ltr
能源效率等級,4,4,4,4,3,4
燃料稅,8640元,8640元,8640元,8640元,8640元,8640元
牌照稅,28220元,28220元,28220元,28220元,28220元,28220元
車長(mm),5085mm,5085mm,5085mm,5085mm,5085mm,5085mm
車寬(mm),1985mm,1985mm,1985mm,1985mm,1985mm,1985mm
車高(mm),1790mm,1790mm,1790mm,1810mm,1790mm,1790mm
軸距(mm),3030mm,3030mm,3030mm,3030mm,3030mm,3030mm
車重(kg),2068kg,2068kg,2068kg,2068kg,2068kg,2068kg
車門數,5門,5門,5門,5門,5門,5門
乘客數,8座,8座,8座,7座,7座,7座
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸,V型6缸,V型6缸,V型6缸,V型6缸
汽門數,24,24,24,24,24,24
最大馬力,299hp@6600rpm,299hp@6600rpm,299hp@6600rpm,299hp@6600rpm,299hp@6600rpm,299hp@6600rpm
最大扭力,36.3kgm@4700rpm,36.3kgm@4700rpm,36.3kgm@4700rpm,36.3kgm@4700rpm,36.3kgm@4700rpm,36.3kgm@4700rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,四輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,扭力樑,扭力樑,扭力樑
煞車型式,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞
前輪尺碼,235/60/R17,235/55/R18,235/65/R17,235/55/R18,235/60R17,235/55/R18
後輪尺碼,235/60/R17,235/55/R18,235/65/R17,235/55/R18,235/60R17,235/55/R18
引擎擺放位置,前置,前置,前置,前置,前置,前置
電動天窗,-,-,●,●,●,●
側滑門,●,●,●,●,●,●
電動開闔尾門/行李蓋,-,●,●,●,●,●
車頂行李架,-,●,●,●,-,●
輪圈規格,17吋,18吋,17吋,18吋,17吋,18吋
後雨刷,●,●,●,●,●,-
感應式雨刷,-,-,-,-,-,●
後視鏡加熱/除霧,-,-,-,●,-,-
後視鏡電動折疊,●,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●,●
方向盤調整,●,●,●,●,●,●
多功能方向盤,●,●,●,●,●,●
動力方向盤,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●
中央顯示幕,●,●,●,●,●,●
多功能資訊幕,●,●,●,●,●,●
環景影像系統,-,-,-,-,-,●
Keyless免匙系統,-,●,●,●,●,●
衛星導航,●,●,-,●,●,●
恆溫空調,三區,●,三區,三區,●,三區
後座出風口,●,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●
後座側面氣囊,●,●,●,●,●,●
側面氣簾,●,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD,EBD,EBD
動態穩定系統,VSM,VSM,VSM,VSM,VSM,VSM
循跡系統,TRC,TRC,TRC,TRC,TRC,TRC
斜坡起步輔助,●,●,●,●,●,●
陡坡緩降系統,●,●,●,●,●,●
定速系統,●,●,●,●,●,●
盲點偵測系統,-,●,-,●,●,●
倒車雷達,●,前後,前後,前後,前後,●
倒車顯影系統,●,●,●,●,●,●
防盜系統,-,●,●,●,●,●
主動式智慧定速系統,●,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●,●
座椅材質,織布,真皮,真皮,真皮,真皮,真皮
座椅高低調整,駕駛座電動,駕駛座電動,駕駛座電動,駕駛座電動,駕駛座電動,雙前座電動
腰部支撐調整,-,-,-,-,-,雙前座電動
前座座椅調整,●,●,●,●,●,●
後座座椅調整,●,●,●,●,●,●
後座分離式傾倒,4/2/4,4/2/4,4/2/4,4/2/4,4/2/4,4/2/4
座椅記憶功能,-,●,-,-,-,●
第三排座椅,●,●,-,●,-,●
後座杯架,●,●,●,●,●,●
後座扶手,●,●,●,●,●,●
外部音源接入,●,●,●,●,●,●
多媒體系統,3.5吋,4.2吋,4.2吋,4.2吋,4.2吋,4.2吋
藍牙通訊,●,●,●,●,●,●
音響系統,●,●,●,●,●,●
音響喇叭數量,6,6,10,6,6,10
頭燈光源,鹵素,鹵素,鹵素,鹵素,鹵素,HID
感應頭燈,●,●,●,●,●,●
LED日行燈,-,●,●,●,●,●
LED尾燈,-,-,●,●,-,-
前霧燈,●,●,●,●,●,●
後霧燈,●,●,●,●,●,●
引擎啟閉系統,●,●,●,●,●,●
