Name,Sienta 2018 5人座經典,Sienta 2018 5人座 豪華,Sienta 2018 5人座 豪華+,Sienta 2018 7人座 豪華,Sienta 2018 7人座 豪華+,Sienta 2018 7人座 尊爵,Sienta 2018 7人座 旗艦
新車售價,64.9萬,69.9萬,70.9萬,77.9萬,79.9萬,85.9萬,88.9萬
車身型式,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
變速系統,無段變速CVT,無段變速CVT,無段變速CVT,無段變速CVT,無段變速CVT,無段變速CVT,無段變速CVT
排氣量,1496cc,1798cc,1798cc,1798cc,1798cc,1798cc,1798cc
能源局公佈平均油耗,16.8km/ltr,15.1km/ltr,15.1km/ltr,14.8km/ltr,14.8km/ltr,14.8km/ltr,14.8km/ltr
能源效率等級,1,1,1,2,2,2,2
燃料稅,4800元,4800元,4800元,4800元,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元,7120元,7120元,7120元,7120元
車長(mm),4235mm,4235mm,4235mm,4235mm,4235mm,4235mm,4235mm
車寬(mm),1695mm,1695mm,1695mm,1695mm,1695mm,1695mm,1695mm
車高(mm),1675mm,1675mm,1675mm,1675mm,1675mm,1675mm,1675mm
軸距(mm),2750mm,2750mm,2750mm,2750mm,2750mm,2750mm,2750mm
車重(kg),1285kg,1315kg,1315kg,1350kg,1350kg,1365kg,1365kg
車門數,5門,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,7座,7座,7座,7座
油箱容量(L),42L,42L,42L,42L,42L,42L,42L
行李容積(L),977L,977L,977L,-,977~1764L,977~1764L,977~1764L
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16,16
壓縮比,11.5,10.6,10.6,10.6,10.6,10.6,10.6
最大馬力,107hp@6000rpm,140hp@6200rpm,140hp@6200rpm,140hp@6200rpm,140hp@6200rpm,140hp@6200rpm,140hp@6200rpm
最大扭力,14.3kgm@4200rpm,17.5kgm@4000rpm,17.5kgm@4000rpm,17.5kgm@4000rpm,17.5kgm@4000rpm,17.5kgm@4000rpm,17.5kgm@4000rpm
缸徑(mm),72.5mm,80.5mm,80.5mm,80.5mm,80.5mm,80.5mm,80.5mm
衝程(mm),90.6mm,88.3mm,88.3mm,88.3mm,88.3mm,88.3mm,88.3mm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,扭力樑,扭力樑,扭力樑,扭力樑
煞車型式,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞
前輪尺碼,185/60R15,185/60R15,185/60R15,185/60R15,185/60R15,195/50R16,195/50R16
後輪尺碼,185/60R15,185/60R15,185/60R15,185/60R15,185/60R15,195/50R16,195/50R16
引擎擺放位置,前置,前置,前置,前置,前置,前置,前置
側滑門,●,●,右側電動,●,雙側電動,雙側電動,雙側電動
輪圈規格,15吋,15吋,15吋,15吋,15吋,16吋,16吋
後雨刷,●,●,●,●,●,●,●
後視鏡電動折疊,-,●,●,●,●,●,●
後視鏡電動調整,-,●,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●,●,●
方向盤調整,手動高低,●,手動高低,手動高低,手動高低,手動高低,手動高低
多功能方向盤,-,-,-,-,-,●,-
動力方向盤,●,●,●,●,●,●,●
旅程電腦,-,-,-,-,-,●,●
中央顯示幕,-,-,-,-,-,●,●
多功能資訊幕,-,-,-,-,-,●,●
Keyless免匙系統,●,●,●,●,●,●,●
中控鎖,●,●,●,●,●,●,●
恆溫空調,-,●,●,●,●,●,●
後座出風口,-,-,-,●,●,●,●
前座正面氣囊,●,●,●,●,●,●,●
前座側面氣囊,-,●,●,●,●,●,●
側面氣簾,-,-,-,●,●,●,●
胎壓偵測,●,●,●,●,●,●,●
兒童安全椅固定裝置,●,●,●,●,●,●,●
ABS防鎖死,●,●,●,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD,EBD,EBD,EBD
動態穩定系統,-,VSC,VSC,VSC,VSC,VSC,VSC
循跡系統,-,TRC,TRC,TRC,TRC,TRC,TRC
斜坡起步輔助,-,●,●,●,●,●,●
定速系統,-,●,●,●,●,●,●
倒車雷達,-,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革,皮革,皮革,皮革
座椅高低調整,●,●,●,●,●,●,●
前座座椅調整,●,●,●,●,●,●,●
後座前後滑移,-,-,-,●,●,●,●
後座分離式傾倒,●,●,●,●,●,●,●
第三排座椅,-,-,-,●,●,●,●
後座杯架,●,●,●,●,●,●,●
多媒體系統,Drive+觸控式螢幕,●,Drive+觸控式螢幕,Drive+觸控式螢幕,Drive+觸控式螢幕,Drive+觸控式螢幕,Drive+觸控式螢幕
藍牙通訊,●,●,●,●,●,●,●
音響系統,Drive+音響,●,Drive+音響,Drive+音響,Drive+音響,Drive+音響,Drive+音響
音響喇叭數量,4,4,4,4,4,6,6
頭燈光源,鹵素,鹵素,鹵素,鹵素,鹵素,LED,LED
感應頭燈,-,-,-,-,-,●,●
頭燈水準自動調整,-,-,-,-,-,●,●
LED日行燈,-,-,-,-,-,-,●
LED尾燈,●,●,●,●,●,●,●
前霧燈,●,●,●,●,●,●,●
後霧燈,●,●,●,●,●,●,●
引擎啟閉系統,●,●,●,●,●,●,●
