Name,Yaris 2019 Crossover經典型,Yaris 2019 Crossover豪華型
新車售價,64.9萬,69.5萬
車身型式,小型掀背車,小型掀背車
動力型式,汽油,汽油
變速系統,無段變速CVT,無段變速CVT
排氣量,1496cc,1496cc
能源局公佈平均油耗,16.4km/ltr,16.4km/ltr
能源效率等級,1,1
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4150mm,4150mm
車寬(mm),1730mm,1730mm
車高(mm),1535mm,1535mm
軸距(mm),2550mm,2550mm
車重(kg),1115kg,1135kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),42L,42L
行李容積(L),310L,310L
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,11.5,11.5
最大馬力,107hp@6000rpm,107hp@6000rpm
最大扭力,14.4kgm@4200rpm,14.4kgm@4200rpm
缸徑(mm),72.5mm,72.5mm
衝程(mm),90.6mm,90.6mm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑
煞車型式,前碟後鼓,四輪碟煞
前輪尺碼,195/50 R16,195/50R16
後輪尺碼,195/50 R16,195/50R16
引擎擺放位置,前置,前置
運動外觀套件,●,●
輪圈規格,16吋,16吋
後雨刷,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
動力方向盤,●,●
旅程電腦,●,●
Keyless免匙系統,-,●
中控鎖,●,●
恆溫空調,-,●
前座正面氣囊,●,●
前座側面氣囊,-,●
側面氣簾,-,●
膝部氣囊,-,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,ABS/BAS/EBD,ABS/BAS/EBD
動態穩定系統,VSC,VSC
循跡系統,TRC,TRC
斜坡起步輔助,●,●
定速系統,-,●
倒車雷達,●,●
防盜系統,●,●
駕駛模式選擇,-,●
座椅材質,皮革,皮革
座椅高低調整,手動,手動
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
後座杯架,●,●
外部音源接入,●,●
多媒體系統,●,●
音響系統,●,●
音響喇叭數量,4,4
頭燈光源,鹵素,鹵素
感應頭燈,●,●
LED尾燈,-,●
前霧燈,-,●
後霧燈,●,●
引擎啟閉系統,-,●
