Name,Beetle 2018 1.2 TSI Design,Beetle 2018 1.4 TSI R-Line
新車售價,106.8萬,128.8萬
車身型式,中型掀背車,中型掀背車
動力型式,汽油,汽油
變速系統,自手排7速,自手排7速
排氣量,1197cc,1390cc
極速(km/h),180km/h,207km/h
官方0-100km/h加速(s),10.9s,8.3s
能源局公佈平均油耗,15.5km/ltr,13.8km/ltr
能源效率等級,4,3
燃料稅,4320元,4800元
牌照稅,4320元,7120元
車長(mm),4278mm,4278mm
車寬(mm),1808mm,1808mm
車高(mm),1481mm,1481mm
軸距(mm),2524mm,2524mm
車重(kg),1307kg,1386kg
車門數,3門,3門
乘客數,4座,4座
油箱容量(L),55L,55L
行李容積(L),310~905L,310~905L
前輪距(mm),1575mm,1575mm
後輪距(mm),1546mm,1546mm
進氣型式,渦輪增壓,雙增壓
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,8,8
壓縮比,10,10
最大馬力,105hp/5000 rpm,160hp/5800 rpm
最大扭力,17.9kgm/1500~4100 rpm,24.5kgm/1500~4500 rpm
缸徑(mm),71mm,76.5mm
衝程(mm),75.6mm,75.6mm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,215/55R17,235/40R19
後輪尺碼,215/55R17,235/40R19
引擎擺放位置,前置,前置
運動外觀套件,-,●
輪圈規格,17吋,19吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,-,●
動力方向盤,●,●
旅程電腦,●,●
中控鎖,-,●
恆溫空調,-,●
前座正面氣囊,●,●
前座側面氣囊,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,BAS/EBD,BAS/EBD
動態穩定系統,ESP,ESP
循跡系統,ASR,ASR
斜坡起步輔助,●,●
定速系統,-,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
電子差速器,●,●
座椅材質,織布,織布
跑車式座椅,-,●
座椅高低調整,●,●
腰部支撐調整,●,●
前座座椅調整,●,●
後座分離式傾倒,5/5,5/5
外部音源接入,●,●
多媒體系統,●,●
音響系統,●,●
音響喇叭數量,8,8
頭燈光源,鹵素,HID
感應頭燈,●,●
頭燈水準自動調整,-,●
LED日行燈,-,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
