Name,Crafter 2016 GP 35 Kombi M,Crafter 2016 GP 35 Kombi L H
新車售價,231.8萬,263萬
車身型式,MPV休旅,MPV休旅
動力型式,柴油,柴油
變速系統,手排6速,手排6速
排氣量,2459cc,2459cc
能源局公佈平均油耗,11.5km/ltr,11.5km/ltr
能源效率等級,1,1
燃料稅,4320元,4320元
牌照稅,15210元,15210元
車長(mm),5905mm,6940mm
車寬(mm),1993mm,1993mm
車高(mm),2415mm,2705mm
軸距(mm),3665mm,4325mm
車重(kg),2801kg,2815kg
車門數,5門,5門
乘客數,9座,9座
油箱容量(L),75L,-
前輪距(mm),1732mm,1710mm
後輪距(mm),1738mm,1716mm
進氣型式,渦輪增壓,渦輪增壓
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列5缸,直列5缸
汽門數,10,10
最大馬力,163hp@3600rpm,163hp@3600rpm
最大扭力,40.81kgm@1800rpm,40.81kgm@1800rpm
驅動型式,後輪驅動,後輪驅動
煞車型式,前後碟煞,前後碟煞
前輪尺碼,205/75R16,235/65R16
後輪尺碼,205/75R16,235/65R16
電動天窗,○,○
輪圈規格,16吋,16吋
感應式雨刷,○,○
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
動力方向盤,●,●
旅程電腦,○,○
中控鎖,●,●
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
循跡系統,●,●
定速系統,○,○
倒車雷達,●,●
座椅材質,織布,織布
第三排座椅,●,●
後座杯架,●,●
音響系統,CD/MP3,CD/MP3
音響喇叭數量,4,4
