Name,Golf GTI 2008 3D,Golf GTI 2008 5D
新車售價,128.8萬,132.8萬
車身型式,中型掀背車,中型掀背車
動力型式,汽油,汽油
變速系統,自手排6速,自手排6速
排氣量,1984cc,1984cc
能源局公佈平均油耗,11.9km/ltr,11.9km/ltr
燃料稅,6180元,6180元
牌照稅,11230元,11230元
車長(mm),4204mm,4204mm
車寬(mm),1759mm,1759mm
車高(mm),1485mm,1485mm
軸距(mm),2578mm,2578mm
車重(kg),1328kg,1328kg
車門數,3門,5門
乘客數,5座,5座
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,10.3,10.3
最大馬力,200hp@5100rpm,200hp@5100rpm
最大扭力,28.6kgm@1800rpm,28.6kgm@1800rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,225/45R17,225/45R17
後輪尺碼,225/45R17,225/45R17
電動天窗,●,●
感應式雨刷,●,●
後視鏡加熱/除霧,●,●
後視鏡方向指示燈,●,●
方向盤換檔,●,●
旅程電腦,●,●
Keyless免匙系統,●,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
動態穩定系統,●,-
循跡系統,●,●
定速系統,●,●
倒車雷達,●,●
防盜系統,●,-
座椅材質,皮革,皮革
後座分離式傾倒,●,●
後座杯架,●,●
後座扶手,●,●
藍牙通訊,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,8只,8只
頭燈光源,HID,HID
感應頭燈,●,●
前霧燈,●,●
後霧燈,●,●
