Name,Golf Plus 2013 1.4 TSI,Golf Plus 2013 2.0 TDI
新車售價,109.8萬,126.8萬
車身型式,MPV休旅,MPV休旅
動力型式,汽油,柴油
變速系統,自手排7速雙離合,自手排6速雙離合
排氣量,1390cc,1968cc
能源局公佈平均油耗,15.4km/ltr,17.5km/ltr
燃料稅,4800元,3708元
牌照稅,7120元,11230元
車長(mm),4204mm,4204mm
車寬(mm),1759mm,1759mm
車高(mm),1621mm,1621mm
軸距(mm),2578mm,2578mm
車重(kg),1363kg,1426kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,10,16.5
最大馬力,122hp@5000rpm,140hp@4200rpm
最大扭力,20.41kgm@1500~4000rpm,32.6kgm@1750~2500rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,195/65R15,205/55R16
後輪尺碼,195/65R15,205/55R16
車頂行李架,●,●
感應式雨刷,●,●
旅程電腦,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
定速系統,●,●
防盜系統,●,●
後座分離式傾倒,●,●
後座杯架,●,●
後座扶手,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,8只,8只
感應頭燈,●,●
前霧燈,●,●
後霧燈,●,●
