Name,Golf 2019 280 TSI Trendline,Golf 2019 280 TSI Comfortline,Golf 2019 280 TSI Highline,Golf 2019 280 TSI R-Line,Golf 2019 GTI Performance Pure,Golf 2019 GTI Performance,Golf 2019 R
新車售價,89.8萬,93.8萬,108.8萬,118.8萬,144.8萬,154.8萬,188.8萬
車身型式,中型掀背車,中型掀背車,中型掀背車,中型掀背車,中型掀背車,中型掀背車,中型掀背車
動力型式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速,自手排7速,自手排7速,自手排7速,自手排7速
排氣量,1395cc,1395cc,1395cc,1395cc,1984cc,1984cc,1984cc
極速(km/h),216km/h,216km/h,216km/h,216km/h,248km/h,250km/h,250km/h
官方0-100km/h加速(s),8.2s,8.2s,8.2s,8.2s,6.4s,6.2s,4.6s
能源局公佈平均油耗,16.8km/ltr,16.8km/ltr,16.8km/ltr,16.8km/ltr,13.9km/ltr,13.9km/ltr,12.2km/ltr
能源效率等級,1,1,1,1,1,1,3
燃料稅,4800元,4800元,4800元,4800元,6180元,6180元,6180元
牌照稅,7120元,7120元,7120元,7120元,11230元,11230元,11230元
車長(mm),4258mm,4258mm,4258mm,4258mm,4258mm,4258mm,4258mm
車寬(mm),1799mm,1799mm,1799mm,1799mm,1799mm,1799mm,1799mm
車高(mm),1482mm,1482mm,1482mm,1482mm,1482mm,1482mm,1482mm
軸距(mm),2626mm,2626mm,2626mm,2626mm,2626mm,2626mm,2626mm
車重(kg),1255kg,1255kg,1295kg,1320kg,1392kg,1430kg,1525kg
車門數,5門,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),50L,50L,50L,50L,50L,50L,50L
行李容積(L),380~1270L,380~1270L,380~1270L,380~1270L,380~1270L,380~1270L,380~1270L
前輪距(mm),1549mm,1549mm,1549mm,1549mm,1549mm,1549mm,1549mm
後輪距(mm),1521mm,1521mm,1521mm,1521mm,1521mm,1521mm,1521mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16,16
最大馬力,150hp@5000~6000rpm,150hp@5000~6000rpm,150hp@5000~6000rpm,150hp@5000~6000rpm,245hp@5000~6700rpm,245hp@5000~6700rpm,310hp@5500~6500rpm
最大扭力,25.5kgm@1500~3500rpm,25.5kgm@1500~3500rpm,25.5kgm@1500~3500rpm,25.5kgm@1500~3500rpm,37.8kgm@1600~4300rpm,37.8kgm@1600~4300rpm,40.8kgm@1500~4600rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
