Name,Jetta 2013 1.4 TSI CL,Jetta 2013 1.4 TSI TL
新車售價,113.8萬,113.8萬
車身型式,中型房車,中型房車
動力型式,汽油,汽油
變速系統,自手排7速雙離合,自手排DSG 雙離合
排氣量,1390cc,1390cc
能源局公佈平均油耗,14.3km/ltr,-km/ltr
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4644mm,4644mm
車寬(mm),1778mm,1778mm
車高(mm),1482mm,1482mm
軸距(mm),2651mm,2651mm
車重(kg),1417kg,1417kg
車門數,4門,4門
乘客數,5座,5座
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,10,10
最大馬力,122hp@5000rpm,122 / 5000
最大扭力,20.41kgm@1500~4000rpm,20.4 / 1500 - 4000
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,205/55R16,205 / 55 R 16
後輪尺碼,205/55R16,205 / 55 R 16
電動天窗,○,○
輪圈規格,16吋、鋁合金,16吋、鋁合金
後視鏡電動調整,●,●
方向盤調整,●,●
旅程電腦,●,●
中控鎖,●,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
動態穩定系統,ESP,ESP
循跡系統,ASR,ASR
斜坡起步輔助,●,●
防盜系統,●,●
電子差速器,●,●
座椅高低調整,●,●
後座座椅調整,●,●
後座分離式傾倒,●,●
音響系統,RCD 510、CD,RCD 510、CD
音響喇叭數量,8只,8只
感應頭燈,●,-
LED日行燈,●,●
前霧燈,●,-
後霧燈,●,●
