Name,Multivan 2018 2.0 TDI Trendline,Multivan 2018 2.0 TDI Comfortline,Multivan 2018 2.0 TDI Highline
新車售價,179.8萬,220.8萬,269.8萬
車身型式,MPV休旅,MPV休旅,MPV休旅
動力型式,柴油,柴油,柴油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,1968cc,1968cc,1968cc
極速(km/h),181km/h,203km/h,199km/h
官方0-100km/h加速(s),13s,9.9s,10.1s
燃料稅,3708元,3708元,3708元
牌照稅,11230元,11230元,11230元
車長(mm),4904mm,4904mm,4904mm
車寬(mm),1904mm,1904mm,1904mm
車高(mm),1940mm,1970mm,1950mm
軸距(mm),3000mm,3000mm,3000mm
車重(kg),2047kg,2093kg,2195kg
車門數,5門,5門,5門
乘客數,7座,7座,7座
油箱容量(L),70L,70L,70L
前輪距(mm),908mm,908mm,908mm
後輪距(mm),993mm,993mm,933mm
進氣型式,渦輪增壓,雙渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
最大馬力,150hp@3250~3750rpm,204hp@4000rpm,204hp@4000rpm
最大扭力,34.7kgm@1500~3000rpm,45.9kgm@1400~2500rpm,45.9kgm@1400~2500rpm
驅動型式,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/65R16,235/55R17,235/55R17
後輪尺碼,215/65R16,235/55R17,235/55R17
引擎擺放位置,前置,前置,前置
電動天窗,-,-,●
側滑門,●,●,●
電動開闔尾門/行李蓋,-,●,●
輪圈規格,16吋,17吋,17吋
後雨刷,●,●,-
感應式雨刷,-,●,●
後視鏡自動防眩目,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,手動4向
多功能方向盤,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
中控鎖,●,●,●
恆溫空調,三區,三區,三區
後座出風口,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD/MCB,EBD/MCB,EBD/MCB
動態穩定系統,ESC,ESC,ESC
循跡系統,●,●,●
斜坡起步輔助,●,●,●
定速系統,●,●,●
盲點偵測系統,-,-,●
駕駛警示系統,●,●,●
倒車雷達,前後,前後,前後
倒車顯影系統,-,●,●
防盜系統,●,●,●
電子懸吊,-,●,●
駕駛模式選擇,-,●,●
座椅材質,織布,-,真皮
座椅高低調整,●,●,●
腰部支撐調整,-,-,雙前座
前座座椅調整,●,●,●
後座座椅調整,●,●,●
後座前後滑移,●,●,●
後座分離式傾倒,●,●,●
第三排座椅,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,iPhone/USB/AUX-IN
多媒體系統,6.3吋,6.3吋,6.3吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,6,6,11
頭燈光源,鹵素,LED,LED
感應頭燈,-,●,●
LED日行燈,-,●,●
LED尾燈,-,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,-,●,-
