Name,Sportsvan 2018 230 TSI CL,Sportsvan 2018 280 TSI HL,Sportsvan 2018 280 TSI HL Plus
新車售價,99.8萬,111.8萬,119.8萬
車身型式,掀背車 Hatchback,掀背車 Hatchback,掀背車 Hatchback
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,999cc,1498cc,1498cc
極速(km/h),192km/h,212km/h,212km/h
官方0-100km/h加速(s),10.7s,8.8s,8.8s
能源局公佈平均油耗,17.6km/ltr,16.4km/ltr,16.4km/ltr
能源效率等級,2,1,1
燃料稅,4320元,4800元,4800元
牌照稅,4320元,7120元,7120元
車長(mm),4351mm,4351mm,4351mm
車寬(mm),1807mm,1807mm,1807mm
車高(mm),1613mm,1613mm,1613mm
軸距(mm),2670mm,2670mm,2670mm
車重(kg),1436kg,1409kg,1409kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),50L,50L,50L
行李容積(L),500~1520L,500~1520L,500~1520L
前輪距(mm),1549mm,1549mm,1549mm
後輪距(mm),1520mm,1520mm,1520mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列4缸,直列4缸
汽門數,12,16,16
最大馬力,110hp@5000~5500rpm,150hp@5000~6000rpm,150hp@5000~6000rpm
最大扭力,20.4kgm@2000~3000rpm,25.5kgm@1500~3500rpm,25.5kgm@1500~3500rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/45R17,225/45R17,225/40R18
後輪尺碼,225/45R17,225/45R17,225/40R18
引擎擺放位置,前置,前置,前置
電動天窗,○,○,●
運動外觀套件,-,-,●
車頂行李架,●,●,●
輪圈規格,17吋,17吋,18吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,-,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,-,-,●
恆溫空調,●,●,●
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD/BAS/MCB,EBD/BAS/MCB,EBD/BAS/MCB
動態穩定系統,ESP,ESP,ESP
循跡系統,ASR,ASR,ASR
主動安全預防系統,●,●,●
定速系統,●,●,●
駕駛警示系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
主動式智慧定速系統,●,●,●
電子差速器,●,●,●
電子手剎車,●,●,●
座椅材質,織布,真皮,真皮
跑車式座椅,-,-,●
座椅高低調整,●,●,●
腰部支撐調整,●,●,●
前座座椅調整,●,●,●
後座座椅調整,●,●,●
後座前後滑移,●,●,●
後座分離式傾倒,4/2/4,4/2/4,4/2/4
加熱座椅,-,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,USB/AUX-IN,USB/AUX-IN,USB/AUX-IN
多媒體系統,●,●,●
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,8,8,8
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
主動轉向頭燈,-,●,●
自適應遠近光,●,-,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,-,●,●
後霧燈,●,●,●
車輛動能回收系統,●,●,●
引擎啟閉系統,●,●,●
