Name,T5 2009 Caravelle 1.9 TDI SWB,T5 2009 Caravelle 1.9 TDI LWB,T5 2009 Caravelle 2.5 TDI SWB,T5 2009 Caravelle 2.5 TDI LWB,T5 2009 Multivan 2.5 TDI HL,T5 2009 Multivan 3.2 V6 HL,T5 2009 California 2.5 TDI,T5 2009 Multivan Executive 3.2 V6
新車售價,142.8萬,149.8萬,178.8萬,188.8萬,252.8萬,252.8萬,273.8萬,488萬
車身型式,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅
動力型式,柴油,柴油,柴油,柴油,柴油,汽油,柴油,汽油
變速系統,手排5速,手排5速,手自排6速,手自排6速,手自排6速,手自排6速,手自排6速,手自排6速
排氣量,1896cc,1896cc,2459cc,2459cc,2459cc,3189cc,2459cc,3189cc
能源局公佈平均油耗,12km/ltr,12km/ltr,11km/ltr,11km/ltr,11km/ltr,7.6km/ltr,11km/ltr,7.6km/ltr
燃料稅,3708元,3708元,4320元,4320元,4320元,8640元,4320元,8640元
牌照稅,11230元,11230元,15210元,15210元,15210元,28220元,15210元,28220元
車長(mm),4890mm,5290mm,4890mm,5290mm,4890mm,4890mm,4890mm,4890mm
車寬(mm),1904mm,1904mm,1904mm,1904mm,1904mm,1904mm,1904mm,1904mm
車高(mm),1990mm,1990mm,1990mm,1990mm,1990mm,1990mm,1990mm,1990mm
軸距(mm),3400mm,3400mm,3400mm,3400mm,3000mm,3000mm,3000mm,3000mm
車重(kg),1905kg,1905kg,1980kg,1980kg,2299kg,2274kg,2462kg,2299kg
車門數,5門,5門,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,7座,7座,5座,7座
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,自然吸氣,渦輪增壓,自然吸氣
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,DOHC雙凸輪軸,SOHC單凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列5缸,直列5缸,直列5缸,V型6缸,直列5缸,V型6缸
汽門數,8,8,10,10,10,24,10,24
壓縮比,18.1,18.1,18.5,18.5,18.5,10.85,18.5,10.85
最大馬力,102hp@3500rpm,102hp@3500rpm,174hp@3500rpm,174hp@3500rpm,174hp@3500rpm,235hp@6200rpm,174hp@3500rpm,235hp@6200rpm
最大扭力,25.1kgm@2000rpm,25.1kgm@2000rpm,40.1kgm@2000rpm,40.1kgm@2000rpm,40.1kgm@2000rpm,32.1kgm@2950rpm,40.1kgm@2000rpm,32.1kgm@2950rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/65R16,215/65R16,215/65R16,215/65R16,235/55R17,235/65R16,215/65R16,235/55R17
後輪尺碼,215/65R16,215/65R16,215/65R16,215/65R16,235/55R17,235/65R16,215/65R16,235/55R17
電動天窗,●,●,●,●,●,●,●,●
車頂行李架,●,●,●,●,●,●,●,●
感應式雨刷,●,●,●,●,●,●,●,●
後視鏡加熱/除霧,●,●,●,●,●,●,●,●
旅程電腦,-,-,-,-,●,●,●,●
Keyless免匙系統,●,●,●,●,●,●,●,●
衛星導航,-,-,-,-,-,●,●,●
恆溫空調,-,-,-,-,●,●,●,●
後座出風口,●,●,●,●,●,●,●,●
車內粉塵過濾,●,●,●,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●,●,●
前座側面氣囊,-,-,-,-,-,●,●,●
側面氣簾,-,-,-,-,-,-,●,-
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●,●,●,●,●,●
循跡系統,●,●,●,●,●,●,●,●
定速系統,●,●,●,●,●,●,●,●
倒車雷達,●,●,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革,皮革,皮革,-,皮革
後座前後滑移,-,-,-,-,●,●,●,●
後座分離式傾倒,●,●,●,●,●,●,●,●
後座杯架,●,●,●,●,●,●,●,●
後座扶手,●,●,●,●,●,●,●,●
藍牙通訊,-,-,-,-,-,●,●,●
音響系統,CD,CD,CD,CD,CD,DVD、CD,DVD、CD,DVD、CD
音響喇叭數量,4只,4只,4只,4只,8只,8只,8只,8只
後座影音功能,-,-,-,-,-,●,●,●
前霧燈,●,●,●,●,●,●,●,●
後霧燈,●,●,●,●,●,●,●,●
