Name,Tiguan Allspace 2019 330 TSI Comfortline,Tiguan Allspace 2019 330 TSI Highline,Tiguan Allspace 2019 380 TSI R-Line Performance
新車售價,139.8萬,155.8萬,179.8萬
車身型式,大型SUV休旅,大型SUV休旅,大型SUV休旅
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,1984cc,1984cc,1984cc
極速(km/h),208km/h,208km/h,208km/h
官方0-100km/h加速(s),8.2s,8.2s,8.2s
能源局公佈平均油耗,11.8km/ltr,11.8km/ltr,11km/ltr
能源效率等級,3,3,4
燃料稅,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元
車長(mm),4701mm,4701mm,4701mm
車寬(mm),1839mm,1839mm,1839mm
車高(mm),1674mm,1674mm,1674mm
軸距(mm),2790mm,2790mm,2790mm
車重(kg),1805kg,1805kg,1805kg
車門數,5門,5門,5門
乘客數,7座,7座,7座
油箱容量(L),60L,60L,60L
行李容積(L),230~1775L,230~1775L,230~1775L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,11.65,11.65,11.65
最大馬力,180hp@3940~6000rpm,180hp@3940~6000rpm,220hp@4500~6200rpm
最大扭力,32.6kgm@1500~3940rpm,32.6kgm@1500~3940rpm,35.7kgm@1500~4400rpm
驅動型式,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/ 55R18,235/ 50R19,255/ 40R20
後輪尺碼,235/ 55R18,235/ 50R19,255/ 40R20
引擎擺放位置,前置,前置,前置
電動天窗,○,○,●
運動外觀套件,-,○,●
電動開闔尾門/行李蓋,●,●,●
車頂行李架,●,●,●
輪圈規格,18吋,19吋,20吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,-,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
抬頭顯示幕,○,○,●
環景影像系統,○,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,-,●,●
恆溫空調,三區,三區,三區
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD/BAS,EBD/BAS,EBD/BAS
動態穩定系統,ESP,ESP,ESP
循跡系統,ASR,ASR,ASR
主動安全預防系統,●,●,●
斜坡起步輔助,●,●,●
陡坡緩降系統,●,●,●
定速系統,●,●,●
自動停車系統,○,●,●
駕駛警示系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
主動式智慧定速系統,●,●,●
電子差速器,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
座椅高低調整,駕駛座電動,雙前座電動,雙前座電動
腰部支撐調整,駕駛座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●
後座座椅調整,●,●,●
後座前後滑移,●,●,●
後座分離式傾倒,二排4/2/4，三排5/5,二排4/2/4，三排5/5,二排4/2/4，三排5/5
座椅記憶功能,●,●,●
第三排座椅,●,●,●
加熱座椅,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,8吋,9.2吋,9.2吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,8,8,9
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
主動轉向頭燈,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
轉向輔助照明,●,●,●
車輛動能回收系統,●,●,●
引擎啟閉系統,●,●,Start/Stop
