Name,Touareg R50 2009 5
新車售價,488.8萬
車身型式,豪華SUV休旅
動力型式,柴油
變速系統,自手排6速
排氣量,4921cc
能源局公佈平均油耗,7.7km/ltr
燃料稅,7308元
牌照稅,46170元
車長(mm),4754mm
車寬(mm),1928mm
車高(mm),1726mm
軸距(mm),2855mm
車重(kg),2602kg
車門數,5門
乘客數,5座
進氣型式,渦輪增壓
汽門構造,SOHC單凸輪軸
汽缸設計,V型10缸
汽門數,20
壓縮比,18.5
最大馬力,313hp@3750rpm
最大扭力,76.5kgm@2000rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,275/45R19
後輪尺碼,275/45R19
電動天窗,●
車頂行李架,●
感應式雨刷,●
後視鏡加熱/除霧,●
後視鏡方向指示燈,●
方向盤調整,電動
方向盤換檔,●
旅程電腦,●
Keyless免匙系統,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
後座側面氣囊,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
防盜系統,●
座椅材質,皮革
前座座椅調整,●
後座分離式傾倒,●
座椅記憶功能,●
後座杯架,●
後座扶手,●
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,11只
頭燈光源,HID
前霧燈,●
後霧燈,●
