Name,C70 2012 T5
新車售價,242萬
車身型式,雙門跑車
動力型式,汽油
變速系統,手自排5速
排氣量,2521cc
能源局公佈平均油耗,9.4km/ltr
燃料稅,7200元
牌照稅,15210元
車長(mm),4615mm
車寬(mm),1851mm
車高(mm),1400mm
軸距(mm),2640mm
車重(kg),1731kg
車門數,2門
乘客數,4座
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列5缸
汽門數,20
壓縮比,9
最大馬力,230hp@5000rpm
最大扭力,32.6kgm@1500~5000rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,235/45R17
後輪尺碼,235/45R17
感應式雨刷,●
後視鏡方向指示燈,●
旅程電腦,●
Keyless免匙系統,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
ABS防鎖死,●
車道偏離警示,●
循跡系統,●
倒車雷達,●
防盜系統,●
前座座椅調整,●
座椅記憶功能,●
加熱座椅,●
後座扶手,●
外部音源接入,AUX-IN
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,12只
頭燈光源,HID
主動轉向頭燈,●
前霧燈,●
後霧燈,●
