Name,V60 Cross Country 2018 D4 安全運動版,V60 Cross Country 2018 D4 安全旗艦版
新車售價,189萬,200萬
車身型式,Wagon旅行車,Wagon旅行車
動力型式,柴油,柴油
變速系統,手自排8速,手自排8速
排氣量,1969cc,1969cc
極速(km/h),210km/h,210km/h
官方0-100km/h加速(s),7.8s,7.8s
能源局公佈平均油耗,17km/ltr,17km/ltr
能源效率等級,1,1
燃料稅,3708元,3708元
牌照稅,11230元,11230元
車長(mm),4637mm,4637mm
車寬(mm),1866mm,1866mm
車高(mm),1545mm,1545mm
軸距(mm),2774mm,2774mm
車重(kg),1730kg,1730kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),67.5L,67.5L
行李容積(L),430~1241L,430~1241L
前輪距(mm),1609mm,1609mm
後輪距(mm),1567mm,1567mm
進氣型式,雙渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,15.8,15.8
最大馬力,190hp@4250rpm,190hp@4250rpm
最大扭力,40.8kgm@1750~2500rpm,40.8kgm@1750~2500rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,235/55 R17,235/45R19
後輪尺碼,235/55R17,235/45R19
引擎擺放位置,前置,前置
電動天窗,附防夾功能,附防夾功能
車頂行李架,●,●
輪圈規格,17吋,19吋
後雨刷,●,●
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,-,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
中控鎖,●,●
衛星導航,●,●
恆溫空調,雙區,雙區
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,●,●
ABS防鎖死,●,●
煞車輔助系統,●,●
動態穩定系統,●,●
車道偏離警示,●,●
循跡系統,●,●
主動安全預防系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
盲點偵測系統,●,●
駕駛警示系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
主動式智慧定速系統,●,●
電子手剎車,●,●
座椅材質,真皮,真皮
跑車式座椅,●,●
座椅高低調整,駕駛座電動8向,電動8向
腰部支撐調整,●,●
前座座椅調整,●,●
後座分離式傾倒,4/2/4,4/2/4
座椅記憶功能,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,USB/iPod,USB/iPod
多媒體系統,7吋,7吋
藍牙通訊,●,●
音響系統,High Performance,Premium Sound by Harman Kardon
音響喇叭數量,8,12
頭燈光源,HID,HID
感應頭燈,●,●
主動轉向頭燈,●,●
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,●,●
後霧燈,●,●
轉向輔助照明,●,●
引擎啟閉系統,Start / Stop 智慧引擎自動啟閉系統,Start / Stop 智慧引擎自動啟閉系統
